geoid,name,B13016001,"B13016001, Error",B13016002,"B13016002, Error",B13016003,"B13016003, Error",B13016004,"B13016004, Error",B13016005,"B13016005, Error",B13016006,"B13016006, Error",B13016007,"B13016007, Error",B13016008,"B13016008, Error",B13016009,"B13016009, Error",B13016010,"B13016010, Error",B13016011,"B13016011, Error",B13016012,"B13016012, Error",B13016013,"B13016013, Error",B13016014,"B13016014, Error",B13016015,"B13016015, Error",B13016016,"B13016016, Error",B13016017,"B13016017, Error"
01000US,United States,76542414,11566,3987092,22278,131532,2686,678380,5237,1091334,8181,1146768,11994,660904,6407,195135,3207,83039,2178,72555322,29215,10236450,5702,10041509,6963,10240523,8216,9740342,12862,9889417,16567,9807726,17305,12599355,10911
04000US12,Florida,4643374,3323,219996,3930,6442,665,34184,1787,62020,2106,61628,2109,37701,1764,12613,961,5408,538,4423378,5159,581271,1314,586602,1840,623683,2221,592538,2156,606419,5052,615656,4584,817209,3255
86000US32003,"32003",5675,624,184,102,0,25,16,26,82,74,24,38,20,35,42,49,0,25,5491,608,897,250,619,203,365,193,611,214,908,264,981,298,1110,286
86000US32008,"32008",921,322,107,88,0,14,33,49,14,23,14,24,46,68,0,14,0,14,814,309,205,153,62,70,21,21,137,106,146,124,81,52,162,86
86000US32009,"32009",859,147,56,40,0,14,0,14,0,14,28,41,0,14,18,23,10,15,803,137,112,58,193,110,73,53,27,32,105,52,141,58,152,56
86000US32011,"32011",3813,366,158,82,4,6,4,8,101,75,19,22,21,17,0,21,9,16,3655,388,671,182,387,165,410,169,466,122,499,137,509,115,713,163
86000US32024,"32024",4089,431,240,112,0,21,83,64,89,90,20,34,48,44,0,21,0,21,3849,411,600,179,462,216,547,217,551,203,539,147,303,135,847,195
86000US32025,"32025",4425,419,89,64,0,25,51,59,17,28,11,19,10,16,0,25,0,25,4336,418,648,170,421,134,779,185,627,158,681,162,465,144,715,170
86000US32026,"32026",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US32033,"32033",587,146,77,37,0,14,0,14,77,37,0,14,0,14,0,14,0,14,510,136,52,52,60,50,0,14,0,14,46,41,95,64,257,102
86000US32034,"32034",5756,511,250,186,0,29,0,29,76,119,44,45,130,132,0,29,0,29,5506,513,709,203,539,203,726,216,619,161,641,205,1084,252,1188,232
86000US32038,"32038",1995,299,130,92,13,18,0,21,0,21,87,90,30,48,0,21,0,21,1865,279,328,121,134,105,266,112,253,114,272,116,226,109,386,134
86000US32040,"32040",1501,313,173,111,12,20,79,89,69,69,13,14,0,19,0,19,0,19,1328,284,190,119,115,76,304,148,217,114,96,55,125,76,281,108
86000US32043,"32043",6179,651,293,131,0,25,33,40,67,70,90,80,60,52,43,52,0,25,5886,648,929,340,667,279,652,268,824,268,671,184,964,270,1179,282
86000US32044,"32044",327,150,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,327,150,72,56,2,3,1,3,44,50,82,71,29,26,97,66
86000US32046,"32046",2154,267,157,86,0,19,90,65,46,55,4,6,17,22,0,19,0,19,1997,272,176,71,236,141,452,139,291,97,115,58,338,127,389,126
86000US32052,"32052",1494,181,187,98,0,19,2,11,80,55,42,49,0,19,36,52,27,40,1307,164,164,70,145,81,239,65,167,82,51,40,276,92,265,107
86000US32053,"32053",659,145,138,77,59,72,30,47,12,19,0,14,37,34,0,14,0,14,521,116,89,60,16,21,58,48,74,50,30,37,122,62,132,68
86000US32054,"32054",1906,146,91,56,0,21,37,40,17,21,16,18,13,21,8,13,0,21,1815,165,284,37,159,53,288,54,237,32,326,133,199,73,322,60
86000US32055,"32055",3694,362,151,107,0,21,45,44,101,94,5,9,0,21,0,21,0,21,3543,358,354,123,472,138,390,152,545,142,462,164,602,217,718,160
86000US32058,"32058",782,173,72,49,23,30,32,40,10,20,3,7,4,7,0,14,0,14,710,174,130,50,197,101,39,37,50,42,70,33,103,61,121,58
86000US32059,"32059",522,157,32,30,0,14,0,14,13,21,4,9,15,20,0,14,0,14,490,159,86,56,6,10,92,81,124,61,44,35,28,29,110,57
86000US32060,"32060",4631,404,183,113,30,36,44,73,56,56,0,25,22,38,31,51,0,25,4448,416,662,207,644,185,539,225,508,171,624,221,739,213,732,190
86000US32061,"32061",90,108,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,90,108,29,44,41,60,0,14,0,14,0,14,0,14,20,33
86000US32062,"32062",311,126,25,42,0,14,0,14,25,42,0,14,0,14,0,14,0,14,286,116,38,41,0,14,15,24,0,14,25,24,102,93,106,81
