geoid,name,B11002001,"B11002001, Error",B11002002,"B11002002, Error",B11002003,"B11002003, Error",B11002004,"B11002004, Error",B11002005,"B11002005, Error",B11002006,"B11002006, Error",B11002007,"B11002007, Error",B11002008,"B11002008, Error",B11002009,"B11002009, Error",B11002010,"B11002010, Error",B11002011,"B11002011, Error",B11002012,"B11002012, Error"
01000US,United States,316606796,0,262918860,128652,190197881,662814,188444918,673028,1752963,16702,20336823,223464,17859150,198246,2477673,28715,52384156,336207,49071638,319374,3312518,22100,53687936,128685
04000US12,Florida,20470021,0,16861757,18847,11627587,57061,11509476,57608,118111,4220,1426240,26614,1255058,23416,171182,5061,3807930,36883,3560817,33951,247113,5327,3608264,18847
86000US32003,"32003",28664,1622,25968,1764,21880,1710,21743,1704,137,108,938,328,867,297,71,69,3150,991,3029,967,121,107,2696,587
86000US32008,"32008",4413,810,3431,766,2452,654,2452,654,0,14,353,253,298,210,55,63,626,326,581,298,45,56,982,266
86000US32009,"32009",3661,287,3274,323,2789,309,2789,309,0,14,185,113,179,111,6,9,300,158,293,151,7,12,387,124
86000US32011,"32011",14509,862,12982,949,9880,996,9875,994,5,8,1092,482,853,343,239,217,2010,497,1898,482,112,62,1527,316
86000US32024,"32024",19447,1118,16260,1107,12321,1259,12163,1247,158,84,1404,653,1321,648,83,66,2535,744,2381,687,154,109,3187,728
86000US32025,"32025",18954,1129,14938,1262,9063,1101,9024,1104,39,44,1690,585,1411,521,279,177,4185,878,3747,763,438,204,4016,431
86000US32026,"32026",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US32033,"32033",4538,474,3937,514,2539,427,2539,427,0,14,115,113,103,102,12,20,1283,317,1213,302,70,75,601,183
86000US32034,"32034",36087,1200,30279,1550,24218,1713,24192,1710,26,30,2128,668,1840,567,288,194,3933,868,3729,841,204,124,5808,702
86000US32038,"32038",10184,847,8443,916,6438,836,6334,810,104,102,507,297,457,267,50,49,1498,457,1415,442,83,55,1741,342
86000US32040,"32040",7329,935,6665,924,5046,857,5028,853,18,25,383,281,328,229,55,60,1236,412,1072,353,164,134,664,199
86000US32043,"32043",26218,1147,22952,1257,17359,1326,17237,1320,122,93,1289,533,1066,435,223,119,4304,1147,3889,1009,415,222,3266,594
86000US32044,"32044",1711,466,1331,461,870,344,870,344,0,14,99,113,99,113,0,14,362,337,353,337,9,10,380,147
86000US32046,"32046",9161,644,8186,691,6572,673,6462,649,110,63,507,227,497,224,10,17,1107,362,1019,320,88,65,975,183
86000US32052,"32052",6132,752,5232,693,3103,650,3097,648,6,15,761,414,671,367,90,63,1368,359,1299,337,69,55,900,235
86000US32053,"32053",3508,452,3172,453,2562,461,2553,461,9,16,100,70,80,57,20,27,510,210,500,214,10,22,336,126
86000US32054,"32054",8232,633,6963,583,4880,523,4801,522,79,84,277,134,245,125,32,31,1806,462,1775,447,31,37,1269,297
86000US32055,"32055",16194,1089,12909,1095,8196,1186,7953,1134,243,175,1413,495,1270,440,143,85,3300,740,3067,700,233,137,3285,571
86000US32058,"32058",3527,434,3144,426,1925,370,1881,357,44,51,391,198,350,177,41,46,828,311,772,277,56,51,383,136
