geoid,name,B25003001,"B25003001, Error",B25003002,"B25003002, Error",B25003003,"B25003003, Error"
01000US,United States,120756048,236892,77274381,377633,43481667,144458
04000US12,Florida,7736311,23882,5058841,30826,2677470,13189
86000US32003,"32003",10428,460,8503,458,1925,381
86000US32008,"32008",1949,335,1646,306,303,116
86000US32009,"32009",1238,89,1123,98,115,64
86000US32011,"32011",5374,300,4452,297,922,187
86000US32024,"32024",6996,325,5837,331,1159,217
86000US32025,"32025",7756,358,4435,319,3321,386
86000US32026,"32026",0,14,0,14,0,14
86000US32033,"32033",1803,177,1489,154,314,149
86000US32034,"32034",15707,471,12384,544,3323,425
86000US32038,"32038",3944,253,3235,294,709,199
86000US32040,"32040",2495,306,2076,289,419,133
86000US32043,"32043",9305,410,7057,487,2248,373
86000US32044,"32044",747,156,577,151,170,96
86000US32046,"32046",3410,215,2593,213,817,151
86000US32052,"32052",2467,323,1562,188,905,289
86000US32053,"32053",1235,152,944,145,291,104
86000US32054,"32054",3504,325,2403,267,1101,214
86000US32055,"32055",5960,344,3991,297,1969,287
86000US32058,"32058",1218,145,968,136,250,98
86000US32059,"32059",1003,189,842,165,161,91
86000US32060,"32060",7856,453,5911,489,1945,366
86000US32061,"32061",122,61,87,56,35,38
86000US32062,"32062",625,123,599,114,26,41
86000US32063,"32063",4404,383,3054,332,1350,328
86000US32064,"32064",2441,301,1410,292,1031,306
86000US32065,"32065",12585,636,9433,557,3152,530
86000US32066,"32066",1770,206,1490,210,280,127
86000US32068,"32068",19670,865,15393,768,4277,573
86000US32071,"32071",1359,219,1007,212,352,155
86000US32072,"32072",109,64,109,64,0,14
86000US32073,"32073",15384,473,9885,498,5499,454
86000US32079,"32079",233,75,19,19,214,72
86000US32080,"32080",9736,386,7587,389,2149,273
86000US32081,"32081",4925,377,4241,371,684,218
86000US32082,"32082",12631,500,10219,476,2412,341
86000US32083,"32083",540,99,321,77,219,88
86000US32084,"32084",13015,462,8797,456,4218,445
86000US32086,"32086",11607,480,8948,410,2659,355
86000US32087,"32087",1624,236,1244,221,380,208
86000US32091,"32091",5645,355,3521,324,2124,345
86000US32092,"32092",12477,626,10925,677,1552,414
86000US32094,"32094",958,221,850,191,108,80
86000US32095,"32095",4099,407,3283,392,816,334
86000US32096,"32096",1062,161,775,132,287,103
86000US32097,"32097",6837,317,5492,385,1345,274
86000US32102,"32102",1062,143,894,135,168,94
86000US32110,"32110",3013,221,2008,186,1005,171
86000US32112,"32112",2947,246,2070,247,877,182
86000US32113,"32113",1805,257,1459,255,346,139
86000US32114,"32114",13466,527,4402,322,9064,491
86000US32117,"32117",10674,461,5727,415,4947,428
86000US32118,"32118",9052,341,5588,362,3464,368
86000US32119,"32119",10041,402,5907,315,4134,344
86000US32124,"32124",1781,156,1380,171,401,151
86000US32127,"32127",12814,489,9675,502,3139,367
86000US32128,"32128",8421,411,6993,384,1428,281
86000US32129,"32129",9829,388,6652,368,3177,391
86000US32130,"32130",1990,177,1609,170,381,133
86000US32131,"32131",1653,181,1232,173,421,152
86000US32132,"32132",3365,177,2688,232,677,166
86000US32133,"32133",8,20,8,20,0,14
86000US32134,"32134",3117,260,2583,265,534,162
86000US32136,"32136",3949,235,3255,235,694,192
86000US32137,"32137",17198,444,13855,515,3343,362
86000US32139,"32139",430,106,359,87,71,66
86000US32140,"32140",560,132,475,116,85,80
86000US32141,"32141",7605,280,6072,352,1533,249
86000US32145,"32145",1951,154,1593,179,358,117
86000US32147,"32147",214,148,167,113,47,72
86000US32148,"32148",4212,345,2991,291,1221,252
86000US32157,"32157",158,79,90,72,68,50
86000US32159,"32159",15318,519,12422,503,2896,341
86000US32162,"32162",30155,1017,28752,1038,1403,484
86000US32164,"32164",16964,465,11972,555,4992,500
86000US32168,"32168",11689,431,9089,441,2600,341
86000US32169,"32169",5415,330,4267,297,1148,214
86000US32174,"32174",22481,643,17392,668,5089,405
86000US32176,"32176",7084,304,5424,302,1660,224
86000US32177,"32177",10389,439,6514,407,3875,363
86000US32179,"32179",3254,353,2563,336,691,213
86000US32180,"32180",1415,146,1211,163,204,77
86000US32181,"32181",997,170,732,122,265,117
86000US32187,"32187",724,138,541,137,183,159
86000US32189,"32189",2631,303,2058,291,573,201
86000US32190,"32190",422,113,326,106,96,60
86000US32193,"32193",307,80,233,75,74,28
86000US32195,"32195",1215,228,1034,224,181,106
86000US32202,"32202",1986,180,219,92,1767,188
86000US32204,"32204",3815,279,1035,177,2780,296
86000US32205,"32205",13020,371,6045,365,6975,419
86000US32206,"32206",6550,322,2812,265,3738,285
86000US32207,"32207",14599,488,7387,395,7212,472
86000US32208,"32208",12334,410,6687,417,5647,511
86000US32209,"32209",13167,491,5981,448,7186,440
86000US32210,"32210",23643,556,12387,569,11256,769
86000US32211,"32211",13312,449,6045,355,7267,461
86000US32212,"32212",231,29,4,6,227,30
86000US32216,"32216",15623,428,7298,468,8325,601
86000US32217,"32217",8671,356,4335,242,4336,358
86000US32218,"32218",22199,647,13623,798,8576,677
86000US32219,"32219",4335,400,3590,391,745,207
86000US32220,"32220",4703,302,3907,295,796,177
86000US32221,"32221",10274,397,7667,398,2607,401
86000US32222,"32222",3945,361,2810,349,1135,270
86000US32223,"32223",9785,198,8165,242,1620,175
86000US32224,"32224",16089,504,9691,520,6398,557
