,zipcode,year,month,total_sales,avg_sale_price,med_sale_price,mortgage_rate
0,34291,2021,1,9,205211.0,213000.0,2.735
1,34292,2021,1,37,313952.0,290000.0,2.735
2,34293,2021,1,117,289105.0,273000.0,2.735
3,34420,2021,1,9,178600.0,160000.0,2.735
4,34428,2021,1,13,244254.0,163000.0,2.735
5,34429,2021,1,31,226219.0,187500.0,2.735
6,34431,2021,1,3,183333.0,210000.0,2.735
7,34432,2021,1,10,189440.0,183950.0,2.735
8,34433,2021,1,17,205471.0,185000.0,2.735
9,34434,2021,1,21,163810.0,165000.0,2.735
10,34436,2021,1,18,188606.0,135000.0,2.735
11,34442,2021,1,48,245744.0,238000.0,2.735
12,34446,2021,1,44,173322.0,182450.0,2.735
13,34448,2021,1,31,186847.0,120000.0,2.735
14,34449,2021,1,6,134250.0,110000.0,2.735
15,34450,2021,1,27,170648.0,153000.0,2.735
16,34452,2021,1,21,121529.0,137300.0,2.735
17,34453,2021,1,27,152496.0,132000.0,2.735
18,34461,2021,1,26,295687.0,278750.0,2.735
19,34465,2021,1,61,176467.0,126000.0,2.735
20,34470,2021,1,15,130960.0,144000.0,2.735
21,34471,2021,1,28,211637.0,168450.0,2.735
22,34472,2021,1,18,172211.0,132500.0,2.735
23,34473,2021,1,12,174742.0,166500.0,2.735
24,34474,2021,1,6,201500.0,192000.0,2.735
25,34475,2021,1,5,103700.0,78000.0,2.735
26,34476,2021,1,17,213571.0,200700.0,2.735
27,34479,2021,1,14,169347.0,157750.0,2.735
28,34480,2021,1,21,301956.0,215000.0,2.735
29,34481,2021,1,36,218209.0,170000.0,2.735
30,34482,2021,1,15,262893.0,230000.0,2.735
31,34484,2021,1,10,224030.0,220850.0,2.735
32,34488,2021,1,7,92461.0,52900.0,2.735
33,34491,2021,1,30,184994.0,181000.0,2.735
34,34498,2021,1,1,410000.0,410000.0,2.735
35,34601,2021,1,40,178469.0,159500.0,2.735
36,34602,2021,1,20,183575.0,158400.0,2.735
37,34604,2021,1,19,284395.0,230000.0,2.735
38,34606,2021,1,69,160058.0,170000.0,2.735
39,34607,2021,1,15,331554.0,330000.0,2.735
40,34608,2021,1,54,199062.0,189869.0,2.735
41,34609,2021,1,77,218199.0,216500.0,2.735
42,34610,2021,1,18,194625.0,202000.0,2.735
43,34613,2021,1,64,144783.0,123000.0,2.735
44,34614,2021,1,10,222330.0,194950.0,2.735
45,34637,2021,1,13,378292.0,405000.0,2.735
46,34638,2021,1,51,296324.0,275000.0,2.735
47,34639,2021,1,57,313181.0,299900.0,2.735
48,34652,2021,1,76,191269.0,147485.0,2.735
49,34653,2021,1,76,163557.0,142900.0,2.735
50,34654,2021,1,38,232613.0,227500.0,2.735
51,34655,2021,1,72,298394.0,265250.0,2.735
52,34667,2021,1,121,197569.0,185000.0,2.735
53,34668,2021,1,103,157789.0,159000.0,2.735
54,34669,2021,1,25,171283.0,166000.0,2.735
55,34677,2021,1,33,305215.0,263000.0,2.735
56,34679,2021,1,1,240000.0,240000.0,2.735
57,34681,2021,1,4,765500.0,556000.0,2.735
58,34683,2021,1,60,325092.0,329950.0,2.735
59,34684,2021,1,51,279349.0,283000.0,2.735
60,34685,2021,1,31,397687.0,319900.0,2.735
61,34688,2021,1,17,410018.0,370000.0,2.735
62,34689,2021,1,66,287322.0,256250.0,2.735
63,34690,2021,1,36,134067.0,145000.0,2.735
64,34691,2021,1,60,157291.0,146500.0,2.735
65,34695,2021,1,36,308622.0,308000.0,2.735
66,34698,2021,1,91,272999.0,252700.0,2.735
67,34705,2021,1,3,308333.0,355000.0,2.735
68,34711,2021,1,76,324340.0,290500.0,2.735
69,34714,2021,1,48,256709.0,257500.0,2.735
70,34715,2021,1,32,297390.0,311500.0,2.735
71,34731,2021,1,15,181596.0,165000.0,2.735
72,34734,2021,1,5,396900.0,336500.0,2.735
73,34736,2021,1,36,256307.0,266000.0,2.735
74,34737,2021,1,3,406333.0,374000.0,2.735
75,34739,2021,1,1,86000.0,86000.0,2.735
76,34741,2021,1,58,191729.0,182500.0,2.735
77,34743,2021,1,52,230175.0,241000.0,2.735
78,34744,2021,1,73,250837.0,245000.0,2.735
79,34746,2021,1,140,278030.0,266250.0,2.735
80,34747,2021,1,175,364515.0,330000.0,2.735
81,34748,2021,1,69,203375.0,217400.0,2.735
82,34753,2021,1,9,209630.0,200000.0,2.735
83,34756,2021,1,10,616260.0,327500.0,2.735
84,34758,2021,1,47,215491.0,219900.0,2.735
85,34759,2021,1,80,209394.0,201200.0,2.735
86,34760,2021,1,1,550000.0,550000.0,2.735
87,34761,2021,1,71,269834.0,269100.0,2.735
88,34762,2021,1,1,190000.0,190000.0,2.735
89,34769,2021,1,51,183217.0,191500.0,2.735
90,34771,2021,1,27,344485.0,315000.0,2.735
91,34772,2021,1,49,289661.0,270000.0,2.735
92,34773,2021,1,14,345121.0,304500.0,2.735
93,34785,2021,1,161,334879.0,330000.0,2.735
94,34786,2021,1,97,568897.0,460000.0,2.735
95,34787,2021,1,138,398273.0,358000.0,2.735
96,34788,2021,1,20,225725.0,236450.0,2.735
97,34797,2021,1,3,485500.0,426500.0,2.735
98,34945,2021,1,4,351850.0,359950.0,2.735
99,34946,2021,1,2,381250.0,381250.0,2.735
100,34947,2021,1,4,157225.0,157500.0,2.735
101,34949,2021,1,22,321109.0,288200.0,2.735
102,34950,2021,1,14,120243.0,117500.0,2.735
103,34951,2021,1,13,189523.0,209900.0,2.735
104,34952,2021,1,43,254516.0,229900.0,2.735
105,34953,2021,1,68,265485.0,272950.0,2.735
106,34956,2021,1,1,90000.0,90000.0,2.735
107,34957,2021,1,72,282810.0,238500.0,2.735
108,34972,2021,1,22,162364.0,127500.0,2.735
109,34974,2021,1,56,126073.0,117500.0,2.735
110,34981,2021,1,1,182000.0,182000.0,2.735
111,34982,2021,1,18,228542.0,190000.0,2.735
112,34983,2021,1,35,266730.0,257000.0,2.735
113,34984,2021,1,16,323681.0,289000.0,2.735
114,34986,2021,1,55,285763.0,250000.0,2.735
115,34987,2021,1,21,322319.0,310000.0,2.735
116,34990,2021,1,60,416535.0,397500.0,2.735
117,34994,2021,1,37,302989.0,180000.0,2.735
118,34996,2021,1,51,738367.0,345000.0,2.735
119,34997,2021,1,81,333593.0,305000.0,2.735
120,34291,2021,2,19,247202.0,245000.0,2.81
121,34292,2021,2,71,350710.0,342000.0,2.81
122,34293,2021,2,165,287514.0,275000.0,2.81
123,34420,2021,2,17,194500.0,174000.0,2.81
124,34428,2021,2,29,217084.0,192000.0,2.81
125,34429,2021,2,29,222538.0,160000.0,2.81
126,34431,2021,2,13,161788.0,140000.0,2.81
127,34432,2021,2,23,188314.0,173500.0,2.81
128,34433,2021,2,15,179960.0,175000.0,2.81
129,34434,2021,2,19,148350.0,160000.0,2.81
130,34436,2021,2,22,162323.0,135000.0,2.81
131,34442,2021,2,60,240524.0,209750.0,2.81
132,34446,2021,2,37,212505.0,210000.0,2.81
133,34448,2021,2,22,202500.0,152750.0,2.81
134,34449,2021,2,2,127000.0,127000.0,2.81
135,34450,2021,2,38,179295.0,149360.0,2.81
136,34452,2021,2,34,152551.0,148250.0,2.81
137,34453,2021,2,28,155381.0,135000.0,2.81
138,34461,2021,2,24,264233.0,248250.0,2.81
139,34465,2021,2,55,169744.0,137500.0,2.81
140,34470,2021,2,18,121911.0,121000.0,2.81
141,34471,2021,2,25,253077.0,240000.0,2.81
142,34472,2021,2,35,134334.0,145000.0,2.81
143,34473,2021,2,29,178641.0,180000.0,2.81
144,34474,2021,2,16,195369.0,160000.0,2.81
145,34475,2021,2,8,167613.0,94500.0,2.81
146,34476,2021,2,23,180753.0,171500.0,2.81
147,34479,2021,2,12,144205.0,145950.0,2.81
148,34480,2021,2,16,223644.0,184500.0,2.81
149,34481,2021,2,46,172713.0,143000.0,2.81
150,34482,2021,2,26,259020.0,212500.0,2.81
151,34484,2021,2,13,276843.0,228000.0,2.81
152,34488,2021,2,11,88939.0,62500.0,2.81
153,34491,2021,2,52,201883.0,192500.0,2.81
154,34498,2021,2,3,190000.0,190000.0,2.81
155,34601,2021,2,47,215036.0,140000.0,2.81
156,34602,2021,2,20,155768.0,172445.0,2.81
157,34604,2021,2,17,255512.0,237200.0,2.81
158,34606,2021,2,59,174005.0,175250.0,2.81
159,34607,2021,2,20,364725.0,309000.0,2.81
160,34608,2021,2,67,194369.0,185000.0,2.81
161,34609,2021,2,78,230594.0,214995.0,2.81
162,34610,2021,2,29,200783.0,176000.0,2.81
163,34613,2021,2,59,158630.0,123500.0,2.81
164,34614,2021,2,22,215169.0,202500.0,2.81
165,34637,2021,2,12,285475.0,292500.0,2.81
166,34638,2021,2,54,340755.0,321050.0,2.81
