Zip_Code,Date_Code,Mobility_Rate,Expense_Index,Crime_Index,Total_Vacant,Total_Dwellings,Total_Sales,FHA_Count,Home_Affordability,Rent_Affordability,Sale_Price,Last_Month_Price,Last_2Month_Price,Last_3Month_Price,Last_Month_Diff,Last_2Month_Diff,Last_3Month_Diff,index,Sale_Price_Prediction,Sale_Price_RMSLE,index,FHA_Count_Prediction,FHA_Count_RMSLE,index,Total_Sales_Predicted,Total_Sales_Predicted_RMSLE
32003,202101,0.18232740512533266,104,28,704,11724,39,6,0.12458912843617186,0.14185270939099773,299900.0,294000.0,336000.0,330000.0,5900.0,-42000.0,6000.0,0,300906.904,0.07047821085333955,0,6.639,0.4951478105700558,0,48.214,0.5112026114997995
32003,202102,0.18232740512533266,104,28,704,11724,30,8,0.1400266812775496,0.14185270939099773,333800.0,299900.0,294000.0,336000.0,33900.0,5900.0,-42000.0,1,333540.0,0.07047821085333955,1,6.177,0.4951478105700558,1,43.022,0.5112026114997995
32003,202103,0.18232740512533266,104,28,704,11724,70,4,0.14768108355375562,0.14185270939099773,339950.0,333800.0,299900.0,294000.0,6150.0,33900.0,5900.0,2,338967.133,0.07047821085333955,2,7.632,0.4951478105700558,2,38.334,0.5112026114997995
32008,202101,0.06703652334720299,82,118,964,3247,6,0,0.15337817687031946,0.2851795740130113,132000.0,169500.0,72500.0,107000.0,-37500.0,97000.0,-34500.0,3,133484.625,0.07047821085333955,3,1.148,0.4951478105700558,3,5.095,0.5112026114997995
32008,202102,0.06703652334720299,82,118,964,3247,3,1,0.062419754161048335,0.2851795740130113,53200.0,132000.0,169500.0,72500.0,-78800.0,-37500.0,97000.0,4,67616.395,0.07047821085333955,4,1.107,0.4951478105700558,4,5.251,0.5112026114997995
32008,202103,0.06703652334720299,82,118,964,3247,7,1,0.17010763959753608,0.2851795740130113,140000.0,53200.0,132000.0,169500.0,86800.0,-78800.0,-37500.0,5,141580.93,0.07047821085333955,5,1.155,0.4951478105700558,5,6.134,0.5112026114997995
32009,202101,0.04114189756507136,104,143,109,1328,4,2,0.13335470451991305,0.1937645983548289,235000.0,175000.0,237000.0,250000.0,60000.0,-62000.0,-13000.0,6,232197.162,0.07047821085333955,6,0.979,0.4951478105700558,6,4.578,0.5112026114997995
32009,202102,0.04114189756507136,104,143,109,1328,5,1,0.11803980438044025,0.1937645983548289,206000.0,235000.0,175000.0,237000.0,-29000.0,60000.0,-62000.0,7,206970.798,0.07047821085333955,7,0.572,0.4951478105700558,7,4.133,0.5112026114997995
32009,202103,0.04114189756507136,104,143,109,1328,4,1,0.0786253334186286,0.1937645983548289,132500.0,206000.0,235000.0,175000.0,-73500.0,-29000.0,60000.0,8,123581.475,0.07047821085333955,8,1.305,0.4951478105700558,8,4.571,0.5112026114997995
32011,202101,0.08384985026812453,96,123,459,6135,28,4,0.1352142684523864,0.20943360722574167,220450.0,225000.0,219450.0,223250.0,-4550.0,5550.0,-3800.0,9,220274.39,0.07047821085333955,9,6.911,0.4951478105700558,9,26.797,0.5112026114997995
