"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M"
"id","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"8600000US32003","ZCTA5 32003","10428","460","2.2","0.9","1.7","1.3","5.4","2.6","6.8","2.8","7.9","2.6","17.4","3.7","10.8","3.0","22.9","4.0","12.9","2.8","12.1","2.4","94154","13447","113501","6800","38.5","(X)","(X)","(X)","(X)","(X)","8167","481","1.9","1.2","1.1","1.1","2.6","1.9","5.5","2.8","6.7","2.5","16.1","4.5","10.4","3.4","25.5","4.6","15.8","3.3","14.4","3.0","111651","9667","126107","7668","(X)","(X)","39.0","(X)","(X)","(X)","6882","453","2.0","1.3","1.2","1.3","1.4","1.3","3.1","1.8","4.6","1.6","14.9","4.6","11.2","3.9","27.3","5.2","18.3","3.8","16.1","3.4","120156","10844","N","N","(X)","(X)","(X)","(X)","(X)","(X)","2261","445","3.1","2.3","4.0","3.9","18.2","10.3","11.5","7.0","13.5","7.5","22.1","7.9","8.6","4.7","12.7","6.3","3.1","3.0","3.2","2.5","49838","9575","64902","9992","(X)","(X)","(X)","(X)","35.3","(X)"
"8600000US32008","ZCTA5 32008","1949","335","13.3","5.9","10.1","5.8","15.0","6.1","13.5","6.9","15.1","6.7","18.1","6.6","4.8","3.5","8.9","4.6","1.1","1.5","0.0","2.2","33663","6751","43340","5996","51.6","(X)","(X)","(X)","(X)","(X)","1053","214","4.2","4.2","2.6","3.5","14.5","9.7","15.2","10.6","19.8","8.6","21.9","9.1","7.2","5.5","14.4","8.6","0.2","0.4","0.0","4.0","42172","12783","53117","8549","(X)","(X)","45.2","(X)","(X)","(X)","783","199","3.1","5.4","0.0","5.3","15.6","12.6","13.2","12.7","20.6","9.9","22.5","10.9","5.5","6.0","19.4","11.5","0.3","0.6","0.0","5.3","46250","18414","N","N","(X)","(X)","(X)","(X)","(X)","(X)","896","252","24.3","11.8","19.2","11.6","16.0","8.9","10.9","7.9","12.3","11.2","12.5","9.7","0.2","0.3","2.5","4.1","2.1","3.4","0.0","4.6","19318","7850","30387","9228","(X)","(X)","(X)","(X)","59.0","(X)"
"8600000US32009","ZCTA5 32009","1238","89","5.4","3.6","0.6","0.9","3.1","2.3","11.3","4.9","15.3","5.5","18.3","5.5","15.1","6.5","20.6","6.3","7.8","4.2","2.7","2.3","68929","10413","82847","8263","38.8","(X)","(X)","(X)","(X)","(X)","936","91","1.1","1.7","0.7","1.2","2.4","2.8","8.5","4.8","9.0","4.6","18.1","6.5","20.6","8.2","26.6","8.5","9.5","5.4","3.5","3.0","90500","10778","97217","9848","(X)","(X)","35.7","(X)","(X)","(X)","787","91","0.0","5.3","0.9","1.5","2.0","3.1","3.7","3.5","8.8","5.2","18.0","7.3","22.5","9.4","30.2","9.8","9.7","6.2","4.2","3.5","93882","8875","N","N","(X)","(X)","(X)","(X)","(X)","(X)","302","84","18.9","13.6","0.0","13.1","7.3","5.8","19.9","11.5","34.8","16.8","16.9","10.9","0.0","13.1","0.0","13.1","2.3","3.3","0.0","13.1","36765","5738","36685","8044","(X)","(X)","(X)","(X)","46.4","(X)"
"8600000US32011","ZCTA5 32011","5374","300","2.7","1.5","3.4","1.4","9.0","2.9","11.1","3.3","13.8","3.6","20.5","3.5","13.9","3.3","18.7","3.6","3.2","1.6","3.5","1.7","63772","5213","76374","6945","43.8","(X)","(X)","(X)","(X)","(X)","4113","311","2.5","1.7","2.3","1.5","7.0","2.7","8.7","2.9","12.0","3.4","22.1","3.8","16.3","4.2","20.4","4.2","4.1","2.1","4.6","2.2","71701","5098","84526","8199","(X)","(X)","43.7","(X)","(X)","(X)","3201","301","0.9","1.3","0.7","0.8","4.3","2.0","5.8","2.3","11.3","3.9","20.7","4.4","20.6","5.2","25.0","5.5","5.3","2.7","5.3","2.7","82017","7464","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1261","210","5.2","3.2","7.8","4.7","16.9","7.4","21.1","9.7","18.4","9.3","14.4","8.5","3.5","3.7","12.5","8.6","0.3","0.5","0.0","3.3","33641","8594","46199","7658","(X)","(X)","(X)","(X)","41.8","(X)"
"8600000US32024","ZCTA5 32024","6996","325","6.0","2.7","2.5","1.3","12.1","2.2","7.6","2.0","15.4","3.4","17.9","2.8","16.1","3.7","15.5","3.1","4.0","1.7","3.1","1.1","56830","6781","73912","5171","45.5","(X)","(X)","(X)","(X)","(X)","4699","283","2.1","1.2","0.5","0.5","8.7","3.3","8.2","2.5","11.2","3.3","19.8","3.6","21.1","4.7","19.0","4.1","5.3","2.5","4.0","1.6","74137","7389","85725","6056","(X)","(X)","41.6","(X)","(X)","(X)","3649","323","0.0","1.2","0.2","0.3","4.6","2.1","7.5","2.8","9.8","3.4","20.6","4.0","23.6","5.6","21.7","4.9","6.9","3.2","5.2","2.1","82030","4906","N","N","(X)","(X)","(X)","(X)","(X)","(X)","2297","357","16.5","7.5","5.7","3.6","20.9","5.7","5.5","3.0","21.2","7.1","14.4","5.2","7.3","4.8","6.6","4.4","0.9","1.0","1.1","1.2","35666","9591","47773","9712","(X)","(X)","(X)","(X)","52.5","(X)"
"8600000US32025","ZCTA5 32025","7756","358","7.4","2.5","9.3","2.6","11.6","2.6","10.6","2.4","14.8","3.3","21.5","4.1","10.4","2.6","10.7","2.3","2.0","1.0","1.6","0.9","45114","4672","58926","4541","51.0","(X)","(X)","(X)","(X)","(X)","4321","383","5.0","2.7","3.0","1.9","7.1","2.7","10.0","3.4","13.7","3.5","27.6","5.4","14.9","4.2","14.8","3.3","3.0","1.7","0.9","0.9","59197","4726","68173","6101","(X)","(X)","45.8","(X)","(X)","(X)","2827","341","1.7","2.0","2.4","1.5","4.7","2.7","8.0","3.7","14.5","4.6","31.6","6.9","14.1","4.2","16.9","4.8","4.6","2.6","1.5","1.3","63561","6044","N","N","(X)","(X)","(X)","(X)","(X)","(X)","3435","363","13.1","4.9","17.9","5.2","17.0","4.6","14.8","3.7","16.0","4.8","10.5","3.8","4.9","2.8","3.3","1.9","0.0","1.2","2.4","1.9","26222","4762","42156","8528","(X)","(X)","(X)","(X)","53.0","(X)"
"8600000US32026","ZCTA5 32026","0","14","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","(X)","(X)","(X)","(X)","(X)","0","14","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","(X)","(X)","-","(X)","(X)","(X)","0","14","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","(X)","(X)","(X)","(X)","(X)","(X)","0","14","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","(X)","(X)","(X)","(X)","-","(X)"
"8600000US32033","ZCTA5 32033","1803","177","5.0","4.2","2.7","2.5","5.1","3.7","7.9","5.1","13.6","4.9","26.7","7.8","21.1","7.9","12.2","5.8","2.8","2.4","2.8","2.6","59375","11339","68731","7531","36.9","(X)","(X)","(X)","(X)","(X)","1288","177","2.3","2.5","1.0","1.6","5.0","4.4","5.6","4.4","14.1","6.0","26.2","8.9","24.7","9.6","14.6","7.4","2.6","2.7","4.0","3.7","69541","11342","75959","8500","(X)","(X)","40.3","(X)","(X)","(X)","1023","161","2.8","3.2","0.0","4.1","3.7","4.3","3.0","3.3","8.4","5.7","25.6","10.2","29.7","12.1","18.4","8.9","3.3","3.4","5.0","4.8","78519","5746","N","N","(X)","(X)","(X)","(X)","(X)","(X)","515","158","12.0","12.7","7.0","8.1","5.4","7.7","13.8","13.5","12.4","10.3","31.1","19.4","12.0","12.2","6.2","7.3","0.0","7.9","0.0","7.9","47208","10573","47680","9958","(X)","(X)","(X)","(X)","26.0","(X)"
"8600000US32034","ZCTA5 32034","15707","471","5.3","1.6","3.6","1.3","4.5","1.3","8.2","1.9","11.5","2.2","17.3","2.4","10.5","1.6","15.9","2.3","11.5","2.1","11.8","1.9","74668","6139","109012","6213","36.5","(X)","(X)","(X)","(X)","(X)","10872","585","1.7","1.0","1.9","0.9","3.2","1.4","6.6","2.1","10.3","2.3","16.3","2.8","11.0","2.3","19.1","3.1","14.9","3.0","15.0","2.6","98304","7327","127514","7767","(X)","(X)","37.5","(X)","(X)","(X)","8764","589","1.4","0.9","1.4","0.8","1.6","0.9","5.1","2.2","7.2","1.9","14.1","2.9","12.5","2.6","20.5","3.8","18.1","3.8","18.1","3.1","120349","11086","N","N","(X)","(X)","(X)","(X)","(X)","(X)","4835","534","13.3","4.4","7.4","3.7","7.7","3.4","12.2","3.9","16.4","4.3","17.5","4.3","9.6","3.3","8.1","2.4","2.9","1.7","4.8","1.5","41774","4098","64260","6474","(X)","(X)","(X)","(X)","33.7","(X)"
