geoid,name,B19013001,"B19013001, Error"
04000US12,Florida,55660,220
86000US32003,"32003",94154,13447
86000US32008,"32008",33663,6751
86000US32009,"32009",68929,10413
86000US32011,"32011",63772,5213
86000US32024,"32024",56830,6781
86000US32025,"32025",45114,4672
86000US32026,"32026",,
86000US32033,"32033",59375,11339
86000US32034,"32034",74668,6139
86000US32038,"32038",39879,3887
86000US32040,"32040",52528,13951
86000US32043,"32043",67661,5063
86000US32044,"32044",44555,6972
86000US32046,"32046",60649,4626
86000US32052,"32052",42738,6609
86000US32053,"32053",36250,15151
86000US32054,"32054",42851,4304
86000US32055,"32055",40000,3423
86000US32058,"32058",41552,9624
86000US32059,"32059",43321,8565
86000US32060,"32060",49731,5503
86000US32061,"32061",85375,48506
86000US32062,"32062",56683,13743
86000US32063,"32063",67009,7629
86000US32064,"32064",47859,9197
86000US32065,"32065",69923,5011
86000US32066,"32066",49953,6679
86000US32068,"32068",63486,3360
86000US32071,"32071",37424,12507
86000US32072,"32072",88516,49435
86000US32073,"32073",60088,3239
86000US32079,"32079",41685,15628
86000US32080,"32080",75719,4467
86000US32081,"32081",119105,15198
86000US32082,"32082",111853,7403
86000US32083,"32083",53966,11387
86000US32084,"32084",52592,3290
86000US32086,"32086",56069,3624
86000US32087,"32087",65345,15201
86000US32091,"32091",42036,4793
86000US32092,"32092",90055,7399
86000US32094,"32094",52500,30028
86000US32095,"32095",75016,20700
86000US32096,"32096",40820,3779
86000US32097,"32097",70263,7428
86000US32102,"32102",41250,8519
86000US32110,"32110",35609,7944
86000US32112,"32112",35722,3568
86000US32113,"32113",36787,5423
86000US32114,"32114",29220,3367
86000US32117,"32117",36915,3112
86000US32118,"32118",44200,4640
86000US32119,"32119",40018,1817
86000US32124,"32124",64757,10331
86000US32127,"32127",51178,2864
86000US32128,"32128",73890,11615
86000US32129,"32129",45208,3096
86000US32130,"32130",50219,4909
86000US32131,"32131",41431,9188
86000US32132,"32132",46016,4070
86000US32133,"32133",,
86000US32134,"32134",35087,5145
86000US32136,"32136",51734,3972
86000US32137,"32137",60637,4754
86000US32139,"32139",31438,9278
86000US32140,"32140",49219,18170
86000US32141,"32141",52150,4364
86000US32145,"32145",43153,5471
86000US32147,"32147",,
86000US32148,"32148",34563,3176
86000US32157,"32157",48500,28061
86000US32159,"32159",45576,2459
86000US32162,"32162",63877,2624
86000US32164,"32164",53213,2599
86000US32168,"32168",54300,2746
86000US32169,"32169",69214,5809
86000US32174,"32174",54513,2814
86000US32176,"32176",48153,4133
86000US32177,"32177",36592,5076
86000US32179,"32179",34338,7538
86000US32180,"32180",49063,7910
86000US32181,"32181",37011,10299
86000US32187,"32187",36509,9577
86000US32189,"32189",35860,6096
86000US32190,"32190",43611,18741
86000US32193,"32193",42083,29812
