,name,B19013001
0,Florida,55660.0
1,32003,94154.0
2,32008,33663.0
3,32009,68929.0
4,32011,63772.0
5,32024,56830.0
6,32025,45114.0
8,32033,59375.0
9,32034,74668.0
10,32038,39879.0
11,32040,52528.0
12,32043,67661.0
13,32044,44555.0
14,32046,60649.0
15,32052,42738.0
16,32053,36250.0
17,32054,42851.0
18,32055,40000.0
19,32058,41552.0
20,32059,43321.0
21,32060,49731.0
22,32061,85375.0
23,32062,56683.0
24,32063,67009.0
25,32064,47859.0
26,32065,69923.0
27,32066,49953.0
28,32068,63486.0
29,32071,37424.0
30,32072,88516.0
31,32073,60088.0
32,32079,41685.0
33,32080,75719.0
34,32081,119105.0
35,32082,111853.0
36,32083,53966.0
37,32084,52592.0
38,32086,56069.0
39,32087,65345.0
40,32091,42036.0
41,32092,90055.0
42,32094,52500.0
43,32095,75016.0
44,32096,40820.0
45,32097,70263.0
46,32102,41250.0
47,32110,35609.0
48,32112,35722.0
49,32113,36787.0
50,32114,29220.0
51,32117,36915.0
52,32118,44200.0
53,32119,40018.0
54,32124,64757.0
55,32127,51178.0
56,32128,73890.0
57,32129,45208.0
58,32130,50219.0
59,32131,41431.0
60,32132,46016.0
62,32134,35087.0
63,32136,51734.0
64,32137,60637.0
65,32139,31438.0
66,32140,49219.0
67,32141,52150.0
68,32145,43153.0
70,32148,34563.0
71,32157,48500.0
72,32159,45576.0
73,32162,63877.0
74,32164,53213.0
75,32168,54300.0
76,32169,69214.0
77,32174,54513.0
78,32176,48153.0
79,32177,36592.0
80,32179,34338.0
81,32180,49063.0
82,32181,37011.0
83,32187,36509.0
84,32189,35860.0
85,32190,43611.0
86,32193,42083.0
87,32195,40164.0
88,32202,33967.0
89,32204,45375.0
90,32205,46649.0
91,32206,28952.0
92,32207,50465.0
93,32208,34565.0
94,32209,25499.0
95,32210,47047.0
96,32211,43699.0
97,32212,36827.0
98,32216,53988.0
99,32217,46313.0
100,32218,57383.0
101,32219,49910.0
102,32220,57405.0
103,32221,63900.0
104,32222,63707.0
105,32223,84905.0
106,32224,78639.0
107,32225,75758.0
108,32226,81396.0
109,32227,59896.0
111,32233,63328.0
112,32234,59349.0
113,32244,54778.0
114,32246,60038.0
115,32250,88794.0
116,32254,33167.0
117,32256,63779.0
118,32257,61036.0
119,32258,81632.0
120,32259,118479.0
121,32266,90037.0
122,32277,51188.0
123,32301,45235.0
124,32303,50726.0
125,32304,23638.0
126,32305,40701.0
127,32308,65949.0
128,32309,80902.0
129,32310,36127.0
130,32311,74244.0
131,32312,100360.0
132,32317,88306.0
133,32320,49292.0
134,32321,35822.0
135,32322,38533.0
137,32324,33505.0
138,32327,64308.0
139,32328,45625.0
140,32330,34836.0
141,32331,38990.0
142,32332,26094.0
143,32333,48340.0
144,32334,39596.0
145,32336,36500.0
146,32340,34629.0
147,32343,59625.0
148,32344,43880.0
149,32346,48669.0
150,32347,49397.0
151,32348,36425.0
152,32350,39255.0
153,32351,37467.0
154,32352,47019.0
155,32355,35833.0
157,32358,54797.0
158,32359,33667.0
159,32361,58458.0
161,32401,39447.0
162,32403,64132.0
163,32404,53662.0
164,32405,50749.0
165,32407,63022.0
166,32408,57643.0
167,32409,60269.0
168,32410,63523.0
169,32413,67103.0
170,32420,32353.0
171,32421,36857.0
172,32423,65288.0
173,32424,38447.0
174,32425,37296.0
175,32426,30341.0
176,32427,31227.0
177,32428,38308.0
178,32430,40357.0
179,32431,43393.0
181,32433,40737.0
182,32435,44150.0
183,32437,26250.0
184,32438,30380.0
185,32439,54901.0
186,32440,44080.0
187,32442,36111.0
188,32443,39716.0
189,32444,72021.0
190,32445,34638.0
191,32446,49087.0
193,32448,27059.0
194,32449,51898.0
195,32455,44688.0
196,32456,53713.0
197,32459,81766.0
198,32460,39564.0
200,32462,38542.0
201,32463,44167.0
202,32464,43010.0
203,32465,39939.0
204,32466,56033.0
205,32501,29422.0
206,32502,53306.0
207,32503,50032.0
208,32504,52824.0
209,32505,37789.0
210,32506,50275.0
211,32507,48939.0
212,32508,44107.0
215,32514,49889.0
216,32526,60007.0
218,32531,57424.0
219,32533,75173.0
220,32534,50407.0
221,32535,42663.0
222,32536,70651.0
223,32539,59712.0
224,32541,80469.0
225,32542,45391.0
226,32544,38750.0
227,32547,52714.0
228,32548,54776.0
229,32550,69410.0
230,32561,102517.0
231,32563,72045.0
232,32564,72143.0
233,32565,51324.0
234,32566,77584.0
235,32567,46950.0
236,32568,53486.0
237,32569,61551.0
238,32570,57981.0
239,32571,72496.0
240,32577,56543.0
241,32578,85497.0
242,32579,76639.0
243,32580,64009.0
244,32583,60805.0
245,32601,25673.0
246,32603,20660.0
247,32605,69707.0
248,32606,69974.0
249,32607,39905.0
250,32608,45887.0
251,32609,34826.0
253,32615,63043.0
254,32616,26528.0
255,32617,44701.0
256,32618,54219.0
257,32619,44328.0
258,32621,36389.0
259,32622,43400.0
260,32625,40563.0
261,32626,35572.0
262,32628,39263.0
263,32631,65449.0
264,32639,38011.0
265,32640,47103.0
266,32641,37540.0
267,32643,56171.0
268,32648,61442.0
269,32653,66471.0
270,32656,50063.0
271,32658,51875.0
272,32664,51875.0
273,32666,47457.0
274,32667,58892.0
275,32668,41438.0
276,32669,70356.0
277,32680,38496.0
280,32686,35910.0
282,32693,38060.0
283,32694,47917.0
284,32696,45457.0
285,32697,38036.0
286,32701,55137.0
287,32702,44470.0
288,32703,51257.0
289,32707,54941.0
290,32708,70469.0
291,32709,54911.0
292,32712,79252.0
293,32713,63594.0
294,32714,52626.0
295,32720,49195.0
296,32724,49722.0
297,32725,52577.0
298,32726,45405.0
299,32730,45288.0
300,32732,79087.0
301,32735,57680.0
302,32736,79327.0
303,32738,53961.0
304,32744,46307.0
305,32746,87581.0
306,32750,71585.0
307,32751,76108.0
308,32754,54336.0
309,32757,57106.0
310,32759,42500.0
311,32763,45590.0
312,32764,72148.0
313,32765,81459.0
314,32766,113471.0
315,32767,47869.0
316,32771,61983.0
317,32773,46353.0
318,32776,74113.0
319,32778,48441.0
320,32779,93635.0
321,32780,51632.0
322,32784,51519.0
323,32789,79759.0
324,32792,52220.0
325,32796,49165.0
326,32798,48086.0
327,32801,57266.0
328,32803,75474.0
329,32804,79707.0
330,32805,27530.0
331,32806,65987.0
332,32807,45989.0
333,32808,36913.0
334,32809,44479.0
335,32810,51355.0
336,32811,38768.0
337,32812,55131.0
338,32814,94581.0
339,32817,62421.0
340,32818,45795.0
341,32819,73088.0
342,32820,95089.0
343,32821,55965.0
344,32822,41350.0
345,32824,67303.0
346,32825,61236.0
347,32826,47462.0
348,32827,83125.0
349,32828,77284.0
350,32829,75563.0
352,32831,38875.0
353,32832,89673.0
354,32833,67554.0
355,32835,56927.0
356,32836,102714.0
357,32837,63339.0
358,32839,39993.0
359,32901,39809.0
360,32903,80181.0
361,32904,66086.0
362,32905,40583.0
363,32907,54951.0
364,32908,57816.0
365,32909,51226.0
366,32920,55156.0
367,32922,31850.0
368,32925,56591.0
369,32926,51896.0
370,32927,61633.0
371,32931,59874.0
372,32934,71891.0
373,32935,49611.0
374,32937,73702.0
375,32940,71812.0
376,32948,39852.0
377,32949,71094.0
378,32950,68425.0
379,32951,74143.0
380,32952,75256.0
381,32953,62310.0
382,32955,73167.0
383,32958,53607.0
384,32960,40529.0
385,32962,48841.0
386,32963,112755.0
387,32966,50172.0
388,32967,51625.0
389,32968,78948.0
390,32970,13375.0
391,32976,37577.0
392,33001,50216.0
393,33004,42469.0
394,33009,38665.0
395,33010,30000.0
396,33012,31320.0
397,33013,36280.0
398,33014,42700.0
399,33015,53046.0
400,33016,49526.0
401,33018,66889.0
402,33019,80000.0
403,33020,43494.0
404,33021,60289.0
405,33023,52783.0
406,33024,61470.0
407,33025,58483.0
408,33026,80232.0
409,33027,63414.0
410,33028,104271.0
411,33029,113082.0
412,33030,39925.0
413,33031,78547.0
414,33032,54420.0
415,33033,49485.0
416,33034,35529.0
417,33035,70608.0
418,33036,83261.0
419,33037,67917.0
420,33039,72500.0
421,33040,69702.0
422,33042,86739.0
423,33043,58571.0
424,33050,57537.0
425,33051,100192.0
426,33054,26919.0
427,33055,45306.0
428,33056,41769.0
429,33060,44647.0
430,33062,64812.0
431,33063,46450.0
432,33064,53238.0
433,33065,55686.0
434,33066,50674.0
435,33067,103337.0
436,33068,45613.0
437,33069,49732.0
438,33070,73676.0
439,33071,91999.0
440,33073,77158.0
441,33076,136343.0
443,33109,200577.0
444,33122,52321.0
445,33125,27544.0
446,33126,37241.0
447,33127,30633.0
448,33128,19482.0
449,33129,78105.0
450,33130,34937.0
451,33131,101248.0
452,33132,80577.0
453,33133,66683.0
