,zip,percent_total_points,letter_grade
0,32008,63,
1,32052,58,
2,32064,58,
3,32081,79,
4,32083,78,
5,32084,58,
6,32092,61,
7,32095,62,
8,32114,50,
9,32117,53,
10,32118,53,
11,32119,37,
12,32124,40,
13,32127,62,
14,32128,50,
15,32129,58,
16,32130,54,
17,32132,46,
18,32140,64,
19,32141,58,
20,32148,53,
21,32162,60,
22,32168,56,
23,32169,66,
24,32174,58,
25,32176,52,
26,32180,51,
27,32207,80,
28,32209,56,
29,32210,51,
30,32211,40,
31,32216,62,
32,32217,78,
33,32218,50,
34,32225,67,
35,32233,56,
36,32246,64,
37,32250,70,
38,32256,58,
39,32257,60,
40,32258,74,
41,32259,65,
42,32266,54,
43,32303,62,
44,32307,58,
45,32308,74,
46,32311,54,
47,32327,54,
48,32347,54,
49,32348,59,
50,32351,67,
51,32355,39,
52,32359,56,
53,32425,56,
54,32428,56,
55,32433,56,
56,32435,51,
57,32439,58,
58,32459,69,
59,32462,55,
60,32504,35,
61,32526,50,
62,32535,56,
63,32548,81,
64,32561,89,
65,32565,67,
66,32566,65,
67,32570,55,
68,32571,72,
69,32578,92,
70,32583,61,
71,32601,61,
72,32608,86,
73,32609,48,
74,32626,46,
75,32641,40,
76,32664,49,
77,32701,53,
78,32702,45,
79,32703,62,
80,32707,56,
81,32708,58,
82,32712,59,
83,32713,60,
84,32714,57,
85,32720,54,
86,32724,56,
87,32725,56,
88,32736,60,
89,32738,51,
90,32744,59,
91,32746,60,
92,32750,58,
93,32759,70,
94,32763,50,
95,32765,58,
96,32766,59,
97,32771,58,
98,32773,52,
99,32779,56,
100,32780,69,
101,32789,39,
102,32792,57,
103,32801,53,
104,32803,62,
105,32804,54,
106,32805,57,
107,32806,62,
108,32808,47,
109,32809,58,
110,32810,48,
111,32811,48,
112,32812,50,
113,32817,61,
114,32818,52,
115,32822,57,
116,32824,58,
117,32825,62,
118,32826,59,
119,32828,64,
120,32829,64,
121,32832,63,
122,32835,60,
123,32836,63,
124,32837,58,
125,32904,65,
126,32907,63,
127,32908,62,
128,32909,56,
129,32922,49,
130,32935,43,
131,32937,68,
132,32940,73,
133,32951,76,
134,32967,59,
135,32968,53,
136,33009,46,
137,33010,57,
138,33012,54,
139,33013,54,
140,33014,63,
141,33015,57,
142,33016,67,
143,33018,55,
144,33020,63,
145,33021,51,
146,33023,53,
147,33024,59,
148,33025,60,
149,33026,64,
150,33027,72,
151,33028,64,
152,33029,70,
153,33030,63,
154,33032,61,
155,33033,52,
156,33034,64,
157,33035,56,
158,33040,52,
159,33054,49,
160,33055,54,
161,33056,55,
162,33060,34,
163,33063,64,
164,33064,45,
165,33065,50,
166,33067,66,
167,33068,48,
168,33069,35,
169,33071,49,
170,33073,61,
171,33076,61,
172,33122,70,
173,33125,54,
174,33126,46,
175,33127,61,
176,33128,61,
177,33130,70,
178,33132,77,
179,33133,67,
180,33134,73,
181,33135,71,
182,33136,52,
183,33137,60,
184,33138,60,
185,33139,67,
186,33140,61,
187,33141,64,
188,33142,55,
189,33143,58,
190,33146,70,
191,33147,57,
192,33149,87,
193,33150,48,
194,33155,50,
195,33156,68,
196,33157,58,
197,33160,61,
198,33161,51,
199,33162,52,
200,33165,62,
201,33166,63,
202,33167,76,
203,33168,62,
204,33169,52,
205,33170,49,
206,33172,79,
207,33173,76,
208,33174,60,
209,33175,68,
210,33176,76,
211,33177,68,
212,33178,68,
213,33179,54,
214,33180,60,
215,33181,70,
216,33182,57,
217,33183,61,
218,33184,75,
219,33185,71,
220,33186,65,
221,33189,68,
222,33190,67,
223,33194,63,
224,33196,58,
225,33301,74,
226,33308,80,
227,33309,34,
228,33311,38,
229,33313,42,
230,33314,77,
231,33321,57,
232,33324,64,
233,33325,71,
234,33327,79,
235,33331,70,
236,33332,68,
237,33351,60,
238,33401,69,
239,33404,53,
240,33405,53,
241,33406,61,
242,33407,62,
243,33409,76,
244,33410,55,
245,33411,58,
246,33413,56,
247,33414,59,
248,33415,61,
249,33417,50,
250,33418,66,
251,33426,54,
252,33430,54,
253,33431,62,
254,33432,69,
255,33433,56,
256,33434,64,
257,33435,52,
258,33436,59,
259,33437,68,
260,33440,81,
261,33444,62,
262,33445,56,
263,33446,60,
264,33449,58,
265,33455,64,
266,33458,60,
267,33461,58,
268,33462,55,
269,33463,60,
270,33467,58,
271,33470,60,
272,33472,56,
273,33476,50,
