,zipcode,property_tax,owner_occupied,renter_occupied,total_vacant,total_dwellings,studio_rent,one_bed_rent,two_bed_rent,three_bed_rent,four_bed_rent,fte_employed,unemployed,average_income,projected_income,expense_index,average_commute,crime_index
0,33569,3310,8393,2363,1207,11962,989,1040,1271,1651,2028,9928,1552,87173,100534,106,27,233
1,33570,3140,6985,3007,2195,12187,989,1040,1271,1651,2028,4464,962,71461,82748,104,26,375
2,33572,4998,6853,2463,1429,10746,989,1040,1271,1651,2028,4188,605,111121,127182,98,30,271
3,33573,2551,12562,3892,2853,19307,989,1040,1271,1651,2028,4670,419,64187,74338,65,18,224
4,33576,2032,1857,308,318,2483,989,1040,1271,1651,2028,1831,205,87684,98954,81,26,151
5,33578,3116,14886,8951,2600,26436,989,1040,1271,1651,2028,10709,3005,75327,86240,93,25,401
6,33579,4337,12206,4732,1454,18392,989,1040,1271,1651,2028,2008,2936,91701,105146,112,31,280
7,33584,2384,7166,2627,822,10615,989,1040,1271,1651,2028,7850,1559,73050,83643,102,26,244
8,33585,1003,341,97,82,520,716,718,946,1278,1283,644,64,60684,72122,85,29,38
9,33592,2368,2804,1475,591,4871,989,1040,1271,1651,2028,1835,600,62544,71743,89,25,370
10,33594,2831,10219,2562,1001,13782,989,1040,1271,1651,2028,5136,1262,80652,92342,103,27,335
11,33596,3409,9262,1403,496,11161,989,1040,1271,1651,2028,2488,831,113571,129969,117,30,232
12,33597,861,2730,617,840,4187,716,718,946,1278,1283,954,520,56812,66215,90,32,104
13,33598,3898,5708,2964,1203,9875,989,1040,1271,1651,2028,1600,868,76912,88075,120,30,178
14,33602,4689,5697,5563,2840,14100,989,1040,1271,1651,2028,33025,536,124477,143151,67,22,557
15,33603,2235,4646,3456,1185,9287,989,1040,1271,1651,2028,6770,948,60883,69862,87,23,614
16,33604,1837,8546,6514,2367,17428,989,1040,1271,1651,2028,7100,2578,55633,63468,87,24,660
17,33605,1403,3126,4061,1371,8559,989,1040,1271,1651,2028,19127,1421,43085,50094,83,25,796
18,33606,5884,4940,4976,1198,11114,989,1040,1271,1651,2028,21687,1097,135114,154308,76,18,666
19,33607,2008,5433,5976,1793,13202,989,1040,1271,1651,2028,64725,1788,60094,69072,85,23,640
20,33609,4656,4851,3383,1017,9252,989,1040,1271,1651,2028,30312,461,116539,133218,80,17,738
21,33610,1426,8528,7621,2012,18161,989,1040,1271,1651,2028,44869,2940,46750,53608,91,25,607
22,33611,3626,9542,6731,1919,18192,989,1040,1271,1651,2028,11069,984,102171,116670,79,20,656
23,33612,1667,7597,11011,3118,21726,989,1040,1271,1651,2028,34020,3347,48469,55452,84,26,514
24,33613,2584,4797,10359,2463,17619,989,1040,1271,1651,2028,13679,2201,53398,60977,72,26,214
25,33614,1780,7693,10884,2035,20611,989,1040,1271,1651,2028,34041,2148,51016,58367,86,23,271
26,33615,2397,10727,7638,2059,20424,989,1040,1271,1651,2028,12013,2230,71723,82122,91,27,133
27,33616,3104,3650,3834,1003,8487,989,1040,1271,1651,2028,2956,928,85418,97462,87,21,603
28,33617,1898,8165,9893,2447,20505,989,1040,1271,1651,2028,16483,2462,58734,67085,81,22,260
29,33618,3276,7853,4113,871,12836,989,1040,1271,1651,2028,15104,760,110402,126497,90,25,149
30,33619,1674,8302,6366,1842,16511,989,1040,1271,1651,2028,50421,2719,56345,65286,93,25,335
31,33620,0,0,45,1,46,989,1040,1271,1651,2028,5455,72,277954,318206,141,12,106
32,33621,5419,96,422,38,556,989,1040,1271,1651,2028,6826,84,72806,83350,119,12,419
33,33624,2663,10817,5108,1254,17178,989,1040,1271,1651,2028,10074,1339,83751,96064,95,27,103
34,33625,2929,7729,3758,613,12100,989,1040,1271,1651,2028,10458,938,83221,95202,98,27,114
35,33626,5246,8784,4218,974,13976,989,1040,1271,1651,2028,9815,981,129236,148087,107,30,249
36,33629,6397,7889,2865,902,11655,989,1040,1271,1651,2028,8568,627,167050,191216,95,19,723
37,33634,2420,4867,3562,667,9095,989,1040,1271,1651,2028,35868,1444,69296,79134,99,23,228
38,33635,3226,5190,2536,925,8652,989,1040,1271,1651,2028,3044,797,82947,95193,90,28,147
39,33637,1867,3520,4094,842,8457,989,1040,1271,1651,2028,12304,906,63229,72515,84,25,190
40,33647,4880,15929,10225,2593,28747,989,1040,1271,1651,2028,20910,2993,115861,132423,105,29,329
41,33701,5854,5299,6714,3925,15939,989,1040,1271,1651,2028,24568,908,103132,119960,60,23,355
42,33702,2357,9428,4771,2283,16483,989,1040,1271,1651,2028,15491,1146,76256,88571,79,22,216
43,33703,3359,8353,2263,1325,11941,989,1040,1271,1651,2028,3445,1027,94796,109203,85,23,244
44,33704,4825,4950,2652,1090,8691,989,1040,1271,1651,2028,4173,626,119358,137809,83,20,380
45,33705,2405,6858,5223,3073,15153,989,1040,1271,1651,2028,8212,1238,67476,77651,82,24,405
46,33706,5722,5495,2815,4502,12812,989,1040,1271,1651,2028,8728,651,104735,120756,72,24,163
47,33707,2959,8886,4614,3493,16993,989,1040,1271,1651,2028,8578,974,74363,85494,70,23,255
48,33708,4826,5487,2285,4134,11906,989,1040,1271,1651,2028,5539,419,88367,102062,73,23,198
49,33709,1595,9284,3459,2665,15408,989,1040,1271,1651,2028,8756,924,54383,62694,76,21,198
50,33710,2262,10856,3525,1747,16128,989,1040,1271,1651,2028,15104,1067,73322,84665,83,21,360
51,33711,2430,4743,2743,1730,9216,989,1040,1271,1651,2028,7725,1162,61294,70923,84,22,284
52,33712,1918,5731,5032,1927,12690,989,1040,1271,1651,2028,6124,1531,60926,70405,86,25,259
53,33713,2039,8977,4350,2205,15533,989,1040,1271,1651,2028,12722,1082,65554,75652,81,22,395
54,33714,1619,5247,3240,1739,10226,989,1040,1271,1651,2028,5404,1025,47111,54406,77,22,387
55,33715,5334,3442,657,2441,6540,989,1040,1271,1651,2028,1855,190,140493,162496,78,27,282
56,33716,2303,3027,7502,1689,12218,989,1040,1271,1651,2028,50063,782,68385,79075,65,20,153
57,33744,0,5,2,1,8,989,1040,1271,1651,2028,81,1,97201,112180,76,18,306
58,33755,2305,5961,4757,1967,12685,989,1040,1271,1651,2028,7923,1559,61680,71186,85,21,294
59,33756,2621,8028,5674,2484,16186,989,1040,1271,1651,2028,19422,2294,74593,86222,79,22,229
60,33759,2682,4859,3617,1480,9957,989,1040,1271,1651,2028,9950,458,69443,79931,79,22,88
61,33760,1897,3679,3203,1107,7989,989,1040,1271,1651,2028,18160,519,61535,71088,81,22,67
62,33761,2571,7629,1914,1431,10973,989,1040,1271,1651,2028,11919,627,77201,89318,76,23,101
63,33762,2903,1847,798,318,2963,989,1040,1271,1651,2028,22852,542,95849,110512,75,20,114
64,33763,1579,7001,2467,1967,11435,989,1040,1271,1651,2028,6007,616,57743,66575,68,22,144
65,33764,2335,9096,3603,3159,15858,989,1040,1271,1651,2028,11592,949,74238,85881,79,21,225
66,33765,2294,3361,2946,879,7185,989,1040,1271,1651,2028,12724,407,60094,69366,78,22,292
67,33767,7384,3369,1060,3434,7863,989,1040,1271,1651,2028,3803,326,139164,160578,73,24,137
68,33770,2321,7509,5053,2359,14921,989,1040,1271,1651,2028,8986,1261,70235,81101,75,23,200
69,33771,1554,9781,5753,3277,18811,989,1040,1271,1651,2028,13709,1834,53689,61972,69,21,45
