,zipcode,property_tax,owner_occupied,renter_occupied,total_vacant,total_dwellings,studio_rent,one_bed_rent,two_bed_rent,three_bed_rent,four_bed_rent,fte_employed,unemployed,average_income,projected_income,expense_index,average_commute,crime_index
0,34756,3105,1124,215,180,1519,1055,1140,1321,1713,2057,393,450,95870,108969,99,30,106
1,34758,2215,9223,3519,2886,15628,1055,1140,1321,1713,2057,4534,3694,59330,66780,118,33,387
2,34759,2296,10659,3504,3780,17943,794,799,1023,1375,1764,2919,2303,57938,64290,103,37,203
3,34760,2564,229,118,36,382,1055,1140,1321,1713,2057,309,247,85790,100638,102,28,1068
4,34761,2815,11977,4278,1329,17583,1055,1140,1321,1713,2057,16249,4448,91575,107005,110,28,492
5,34762,2257,269,54,101,424,1055,1140,1321,1713,2057,386,68,58093,65772,81,27,386
6,34769,1862,6583,3440,1954,11977,1055,1140,1321,1713,2057,7513,4002,63687,72027,90,29,275
7,34771,3104,6601,2088,1451,10140,1055,1140,1321,1713,2057,2617,2134,86684,97295,103,32,304
8,34772,2814,8169,2896,1768,12833,1055,1140,1321,1713,2057,3195,2883,77883,87617,110,30,208
9,34773,3744,1441,500,572,2513,1055,1140,1321,1713,2057,734,541,83314,93835,110,38,500
10,34785,4609,17743,2613,4505,24862,716,718,946,1278,1283,8333,1345,81978,97253,92,25,77
11,34786,7189,10129,4595,2275,16998,1055,1140,1321,1713,2057,16570,2056,156888,178513,115,25,223
12,34787,4076,21642,11395,4013,37050,1055,1140,1321,1713,2057,24589,5678,107205,124735,107,26,540
13,34788,1594,7764,1405,1764,10934,1055,1140,1321,1713,2057,5063,1214,56248,63871,75,23,139
14,34797,2553,524,57,124,705,1055,1140,1321,1713,2057,186,67,70736,80288,86,33,170
15,34945,2615,1414,323,248,1985,926,932,1211,1618,1830,2802,158,73899,83371,96,20,210
16,34946,1433,1924,780,667,3371,926,932,1211,1618,1830,2427,383,46459,51919,92,22,286
17,34947,1468,2109,2502,739,5351,926,932,1211,1618,1830,5141,687,43871,49215,98,24,364
18,34949,4682,3671,1160,3794,8625,926,932,1211,1618,1830,659,189,96366,108280,75,25,351
19,34950,1391,2339,3303,1565,7207,926,932,1211,1618,1830,10453,887,40421,45171,94,27,445
20,34951,1977,6017,1159,1425,8601,926,932,1211,1618,1830,1429,635,54494,60933,82,24,334
21,34952,2660,15022,5811,4064,24897,926,932,1211,1618,1830,20207,1969,59979,66866,80,24,200
22,34953,3471,19987,5136,3240,28363,926,932,1211,1618,1830,7160,3262,71052,79485,111,30,55
23,34956,1340,1660,871,343,2874,926,932,1211,1618,1830,2778,713,58587,68256,133,33,89
24,34957,3554,9017,2827,6340,18185,926,932,1211,1618,1830,9772,819,80659,92673,77,22,122
25,34972,1297,4160,1995,1245,7401,645,649,836,1074,1186,4745,696,51838,58740,109,30,224
26,34974,1363,7775,2295,4143,14213,673,675,785,976,1114,3895,566,58011,65187,88,25,175
27,34981,2666,957,777,241,1975,926,932,1211,1618,1830,3726,320,58229,65220,96,22,262
28,34982,1925,8243,3115,1957,13316,926,932,1211,1618,1830,6456,950,52951,59120,90,21,296
29,34983,2896,12403,3374,1831,17609,926,932,1211,1618,1830,3784,1871,68896,77037,102,25,121
30,34984,3672,5017,1069,898,6984,926,932,1211,1618,1830,2863,805,83195,93062,104,27,93
31,34986,4312,9944,2865,2542,15351,926,932,1211,1618,1830,12238,367,72324,82326,86,30,78
32,34987,4875,4237,1290,1829,7356,926,932,1211,1618,1830,2392,303,98813,110440,96,27,117
33,34990,4491,11232,2039,1656,14926,926,932,1211,1618,1830,9001,934,120310,139546,101,25,56
34,34994,2309,4771,3346,2005,10122,926,932,1211,1618,1830,18995,898,70499,81708,78,23,139
35,34996,5157,5202,1267,2780,9249,926,932,1211,1618,1830,5411,163,115311,132782,78,21,140
36,34997,3067,14320,4256,2976,21551,926,932,1211,1618,1830,15421,1267,81555,95059,91,24,113
