,zipcode,year,month,total_sales,avg_sale_price,med_sale_price,mortgage_rate
0,34291,2019,1,10,231310.0,206000.0,4.464
1,34292,2019,1,34,283729.0,272500.0,4.464
2,34293,2019,1,91,238282.0,217000.0,4.464
3,34420,2019,1,29,126858.0,115100.0,4.464
4,34428,2019,1,17,165129.0,147200.0,4.464
5,34429,2019,1,24,172054.0,139450.0,4.464
6,34431,2019,1,23,114896.0,110100.0,4.464
7,34432,2019,1,21,167304.0,135000.0,4.464
8,34433,2019,1,15,135647.0,147000.0,4.464
9,34434,2019,1,13,130131.0,118400.0,4.464
10,34436,2019,1,22,112336.0,92250.0,4.464
11,34442,2019,1,48,147870.0,128900.0,4.464
12,34446,2019,1,37,164987.0,138000.0,4.464
13,34448,2019,1,24,137372.0,117000.0,4.464
14,34449,2019,1,3,97633.0,87000.0,4.464
15,34450,2019,1,20,95714.0,84750.0,4.464
16,34452,2019,1,26,103550.0,89600.0,4.464
17,34453,2019,1,20,118190.0,97750.0,4.464
18,34461,2019,1,16,207009.0,133100.0,4.464
19,34465,2019,1,46,138637.0,110500.0,4.464
20,34470,2019,1,28,110889.0,89950.0,4.464
21,34471,2019,1,27,193963.0,197500.0,4.464
22,34472,2019,1,53,118523.0,105000.0,4.464
23,34473,2019,1,32,138913.0,145000.0,4.464
24,34474,2019,1,16,145569.0,148650.0,4.464
25,34475,2019,1,8,107738.0,102500.0,4.464
26,34476,2019,1,41,184380.0,176500.0,4.464
27,34479,2019,1,22,120351.0,98400.0,4.464
28,34480,2019,1,26,190138.0,141100.0,4.464
29,34481,2019,1,46,138950.0,114000.0,4.464
30,34482,2019,1,36,220675.0,144700.0,4.464
31,34484,2019,1,1,144900.0,144900.0,4.464
32,34488,2019,1,25,98509.0,64000.0,4.464
33,34491,2019,1,53,189598.0,161873.0,4.464
34,34498,2019,1,6,108317.0,103250.0,4.464
35,34601,2019,1,37,137651.0,92000.0,4.464
36,34602,2019,1,15,88453.0,60600.0,4.464
37,34604,2019,1,19,141416.0,157000.0,4.464
38,34606,2019,1,66,139007.0,131900.0,4.464
39,34607,2019,1,23,189361.0,163000.0,4.464
40,34608,2019,1,61,144595.0,141000.0,4.464
41,34609,2019,1,77,167617.0,165000.0,4.464
42,34610,2019,1,26,179081.0,139800.0,4.464
43,34613,2019,1,55,110253.0,92500.0,4.464
44,34614,2019,1,10,136743.0,137500.0,4.464
45,34637,2019,1,15,230500.0,218000.0,4.464
46,34638,2019,1,39,266224.0,240500.0,4.464
47,34639,2019,1,32,214573.0,215950.0,4.464
