,zipcode,year,month,total_sales,avg_sale_price,med_sale_price,mortgage_rate
0,33181,2021,1,25,537436.0,245000.0,2.735
1,33182,2021,1,15,353771.0,390000.0,2.735
2,33183,2021,1,41,321124.0,240000.0,2.735
3,33184,2021,1,21,392905.0,390000.0,2.735
4,33185,2021,1,24,418138.0,400000.0,2.735
5,33186,2021,1,85,343578.0,372000.0,2.735
6,33187,2021,1,17,358618.0,420000.0,2.735
7,33189,2021,1,27,266830.0,310000.0,2.735
8,33190,2021,1,19,274847.0,273000.0,2.735
9,33193,2021,1,35,254329.0,215000.0,2.735
10,33194,2021,1,9,383611.0,368000.0,2.735
11,33196,2021,1,47,317572.0,330000.0,2.735
12,33301,2021,1,56,918988.0,637500.0,2.735
13,33304,2021,1,57,712767.0,530000.0,2.735
14,33305,2021,1,42,912486.0,587500.0,2.735
15,33306,2021,1,10,675900.0,612500.0,2.735
16,33308,2021,1,108,686893.0,512000.0,2.735
17,33309,2021,1,70,235368.0,230300.0,2.735
18,33311,2021,1,97,244297.0,220000.0,2.735
19,33312,2021,1,72,381154.0,291500.0,2.735
20,33313,2021,1,84,140634.0,99900.0,2.735
21,33314,2021,1,29,339578.0,275000.0,2.735
22,33315,2021,1,38,454416.0,436500.0,2.735
23,33316,2021,1,30,616401.0,595000.0,2.735
24,33317,2021,1,46,302367.0,298250.0,2.735
25,33319,2021,1,83,153590.0,105000.0,2.735
26,33321,2021,1,105,226516.0,237699.0,2.735
27,33322,2021,1,103,217438.0,180000.0,2.735
28,33323,2021,1,31,374039.0,334000.0,2.735
29,33324,2021,1,62,274803.0,207500.0,2.735
30,33325,2021,1,44,389218.0,347500.0,2.735
31,33326,2021,1,61,327293.0,287000.0,2.735
32,33327,2021,1,38,531255.0,443000.0,2.735
33,33328,2021,1,39,448044.0,360000.0,2.735
34,33330,2021,1,20,663180.0,597500.0,2.735
35,33331,2021,1,24,587200.0,542500.0,2.735
36,33332,2021,1,18,580700.0,592500.0,2.735
37,33334,2021,1,64,369538.0,317500.0,2.735
38,33351,2021,1,50,269986.0,281500.0,2.735
39,33401,2021,1,63,943957.0,260000.0,2.735
40,33403,2021,1,8,226125.0,225000.0,2.735
41,33404,2021,1,64,545821.0,370000.0,2.735
42,33405,2021,1,28,633460.0,299450.0,2.735
43,33406,2021,1,26,299118.0,310000.0,2.735
44,33407,2021,1,35,223790.0,188000.0,2.735
45,33408,2021,1,51,938982.0,525250.0,2.735
46,33409,2021,1,29,188117.0,155000.0,2.735
47,33410,2021,1,72,588917.0,450000.0,2.735
48,33411,2021,1,104,311238.0,313750.0,2.735
49,33412,2021,1,18,420543.0,432500.0,2.735
50,33413,2021,1,14,234444.0,234000.0,2.735
51,33414,2021,1,61,550377.0,390000.0,2.735
52,33415,2021,1,41,168366.0,150000.0,2.735
53,33417,2021,1,60,144682.0,107000.0,2.735
54,33418,2021,1,83,641089.0,425000.0,2.735
55,33426,2021,1,38,224613.0,221000.0,2.735
56,33428,2021,1,53,357926.0,286500.0,2.735
57,33430,2021,1,3,90933.0,52800.0,2.735
58,33431,2021,1,35,524833.0,400000.0,2.735
59,33432,2021,1,44,1246533.0,607500.0,2.735
60,33433,2021,1,83,405621.0,330000.0,2.735
61,33434,2021,1,42,367443.0,234500.0,2.735
62,33435,2021,1,59,351230.0,246000.0,2.735
63,33436,2021,1,68,308637.0,245000.0,2.735
64,33437,2021,1,78,339123.0,290000.0,2.735
65,33438,2021,1,1,115000.0,115000.0,2.735
66,33440,2021,1,11,225434.0,185000.0,2.735
67,33441,2021,1,46,449276.0,314800.0,2.735
68,33442,2021,1,94,169835.0,140000.0,2.735
69,33444,2021,1,35,444842.0,400000.0,2.735
70,33445,2021,1,70,305557.0,222500.0,2.735
71,33446,2021,1,88,491596.0,367500.0,2.735
72,33449,2021,1,13,575577.0,512500.0,2.735
73,33455,2021,1,50,674286.0,329250.0,2.735
74,33458,2021,1,70,492542.0,380000.0,2.735
75,33460,2021,1,37,362078.0,270000.0,2.735
76,33461,2021,1,39,189047.0,180000.0,2.735
77,33462,2021,1,37,351443.0,283000.0,2.735
78,33463,2021,1,59,296074.0,273000.0,2.735
79,33467,2021,1,65,309879.0,325000.0,2.735
80,33469,2021,1,34,784285.0,571250.0,2.735
81,33470,2021,1,34,480975.0,466820.0,2.735
82,33471,2021,1,3,153333.0,160000.0,2.735
83,33472,2021,1,28,377675.0,376000.0,2.735
84,33473,2021,1,20,608818.0,605816.0,2.735
85,33476,2021,1,1,41400.0,41400.0,2.735
86,33477,2021,1,37,854110.0,365000.0,2.735
87,33478,2021,1,30,653293.0,557700.0,2.735
88,33480,2021,1,45,1847709.0,775000.0,2.735
89,33483,2021,1,49,1164983.0,790000.0,2.735
90,33484,2021,1,80,172199.0,144500.0,2.735
91,33486,2021,1,26,569843.0,477900.0,2.735
92,33487,2021,1,47,616090.0,487500.0,2.735
93,33496,2021,1,63,744374.0,520000.0,2.735
94,33498,2021,1,20,418218.0,431000.0,2.735
95,33510,2021,1,40,222600.0,225000.0,2.735
96,33511,2021,1,76,254394.0,254600.0,2.735
97,33513,2021,1,14,110129.0,83000.0,2.735
98,33523,2021,1,18,159739.0,164000.0,2.735
99,33525,2021,1,23,277933.0,189400.0,2.735
100,33527,2021,1,16,243475.0,211000.0,2.735
101,33534,2021,1,22,192442.0,225000.0,2.735
102,33538,2021,1,8,205475.0,167000.0,2.735
103,33540,2021,1,8,115750.0,107500.0,2.735
104,33541,2021,1,32,141484.0,99000.0,2.735
105,33542,2021,1,69,118503.0,115000.0,2.735
106,33543,2021,1,63,251630.0,244000.0,2.735
107,33544,2021,1,55,299949.0,266500.0,2.735
108,33545,2021,1,37,281186.0,270000.0,2.735
109,33547,2021,1,41,387384.0,352000.0,2.735
110,33548,2021,1,10,415230.0,442500.0,2.735
111,33549,2021,1,20,285830.0,260050.0,2.735
112,33556,2021,1,34,555804.0,430645.0,2.735
113,33558,2021,1,46,276250.0,289700.0,2.735
114,33559,2021,1,19,259155.0,220000.0,2.735
115,33563,2021,1,29,158287.0,162000.0,2.735
116,33565,2021,1,19,253995.0,255000.0,2.735
117,33566,2021,1,18,244153.0,259750.0,2.735
118,33567,2021,1,8,322625.0,315000.0,2.735
119,33181,2021,2,32,639103.0,220450.0,2.81
120,33182,2021,2,12,358083.0,367500.0,2.81
121,33183,2021,2,29,261934.0,199000.0,2.81
122,33184,2021,2,13,322662.0,330000.0,2.81
123,33185,2021,2,32,383770.0,387500.0,2.81
124,33186,2021,2,88,322872.0,320000.0,2.81
125,33187,2021,2,16,420594.0,457000.0,2.81
126,33189,2021,2,34,314159.0,315000.0,2.81
127,33190,2021,2,20,292630.0,294000.0,2.81
128,33193,2021,2,43,324374.0,350000.0,2.81
129,33194,2021,2,6,381250.0,369500.0,2.81
130,33196,2021,2,42,316781.0,305000.0,2.81
131,33301,2021,2,55,1281209.0,720000.0,2.81
132,33304,2021,2,83,664095.0,450000.0,2.81
133,33305,2021,2,57,896311.0,580000.0,2.81
134,33306,2021,2,15,528100.0,433000.0,2.81
135,33308,2021,2,125,568239.0,465000.0,2.81
136,33309,2021,2,66,239158.0,221500.0,2.81
137,33311,2021,2,97,242339.0,250000.0,2.81
138,33312,2021,2,92,402906.0,342500.0,2.81
139,33313,2021,2,87,163064.0,107500.0,2.81
140,33314,2021,2,28,301690.0,239750.0,2.81
141,33315,2021,2,37,407513.0,422500.0,2.81
142,33316,2021,2,39,1554638.0,825000.0,2.81
143,33317,2021,2,55,319789.0,322000.0,2.81
144,33319,2021,2,107,171971.0,120000.0,2.81
145,33321,2021,2,128,219557.0,221500.0,2.81
146,33322,2021,2,75,207659.0,160000.0,2.81
147,33323,2021,2,34,439326.0,362500.0,2.81
148,33324,2021,2,85,287922.0,233500.0,2.81
149,33325,2021,2,46,374980.0,364500.0,2.81
