,zipcode,year,month,total_sales,avg_sale_price,med_sale_price,mortgage_rate
0,34945,2019,1,2,287500.0,287500.0,4.4639999999999995
1,34946,2019,1,6,97683.0,80000.0,4.4639999999999995
2,34947,2019,1,8,117275.0,81000.0,4.4639999999999995
3,34949,2019,1,27,276930.0,240000.0,4.4639999999999995
4,34950,2019,1,24,84782.0,72500.0,4.4639999999999995
5,34951,2019,1,25,142472.0,146500.0,4.4639999999999995
6,34952,2019,1,66,179411.0,156750.0,4.4639999999999995
7,34953,2019,1,96,207832.0,201500.0,4.4639999999999995
8,34956,2019,1,3,192333.0,182000.0,4.4639999999999995
9,34957,2019,1,47,263180.0,245000.0,4.4639999999999995
10,34972,2019,1,15,135460.0,125000.0,4.4639999999999995
11,34974,2019,1,44,109815.0,82950.0,4.4639999999999995
12,34981,2019,1,4,307700.0,332500.0,4.4639999999999995
13,34982,2019,1,40,148766.0,139000.0,4.4639999999999995
14,34983,2019,1,61,187357.0,190000.0,4.4639999999999995
15,34984,2019,1,33,231509.0,199500.0,4.4639999999999995
16,34986,2019,1,56,225078.0,222500.0,4.4639999999999995
17,34987,2019,1,19,256399.0,238500.0,4.4639999999999995
18,34990,2019,1,52,351935.0,360000.0,4.4639999999999995
19,34994,2019,1,35,195346.0,120000.0,4.4639999999999995
20,34996,2019,1,32,616800.0,146350.0,4.4639999999999995
21,34997,2019,1,68,240043.0,226750.0,4.4639999999999995
22,34945,2019,3,1,620000.0,620000.0,4.265
23,34946,2019,3,8,93950.0,86100.0,4.265
24,34947,2019,3,7,60500.0,35000.0,4.265
25,34949,2019,3,34,467199.0,344000.0,4.265
26,34950,2019,3,17,118847.0,89900.0,4.265
27,34951,2019,3,32,175372.0,176500.0,4.265
28,34952,2019,3,77,194404.0,179000.0,4.265
29,34953,2019,3,104,214338.0,217250.0,4.265
30,34956,2019,3,2,169200.0,169200.0,4.265
31,34957,2019,3,49,315043.0,270000.0,4.265
32,34972,2019,3,15,292117.0,150000.0,4.265
33,34974,2019,3,33,111644.0,105000.0,4.265
34,34981,2019,3,2,156200.0,156200.0,4.265
35,34982,2019,3,37,148124.0,135500.0,4.265
36,34983,2019,3,92,188457.0,198500.0,4.265
37,34984,2019,3,24,252937.0,210950.0,4.265
38,34986,2019,3,64,246035.0,246143.0,4.265
39,34987,2019,3,21,242243.0,226000.0,4.265
40,34990,2019,3,43,336279.0,272500.0,4.265
41,34994,2019,3,27,151591.0,127000.0,4.265
42,34996,2019,3,23,672252.0,209000.0,4.265
43,34997,2019,3,62,264494.0,211500.0,4.265
44,34945,2019,4,3,222330.0,228000.0,4.1425
45,34946,2019,4,6,175629.0,110387.0,4.1425
46,34947,2019,4,10,104700.0,74700.0,4.1425
47,34949,2019,4,57,290699.0,256000.0,4.1425
48,34950,2019,4,28,154269.0,109000.0,4.1425
49,34951,2019,4,27,156011.0,162000.0,4.1425
50,34952,2019,4,129,176508.0,161000.0,4.1425
51,34953,2019,4,159,210625.0,215000.0,4.1425
52,34956,2019,4,2,183300.0,183300.0,4.1425
53,34957,2019,4,93,290755.0,280000.0,4.1425
54,34972,2019,4,12,232558.0,125000.0,4.1425
55,34974,2019,4,59,129715.0,128000.0,4.1425
56,34981,2019,4,5,161900.0,120000.0,4.1425
57,34982,2019,4,40,153974.0,150000.0,4.1425
58,34983,2019,4,117,204710.0,197000.0,4.1425
59,34984,2019,4,39,281659.0,229900.0,4.1425
60,34986,2019,4,93,245336.0,232500.0,4.1425
61,34987,2019,4,42,266711.0,253995.0,4.1425
62,34990,2019,4,72,369450.0,341200.0,4.1425
63,34994,2019,4,38,232016.0,169250.0,4.1425
64,34996,2019,4,59,515644.0,320000.0,4.1425
65,34997,2019,4,119,280205.0,250000.0,4.1425
66,34945,2019,5,2,281500.0,281500.0,4.072
67,34946,2019,5,8,170138.0,136500.0,4.072
68,34947,2019,5,12,122638.0,94000.0,4.072
69,34949,2019,5,41,295871.0,275000.0,4.072
70,34950,2019,5,20,86535.0,76500.0,4.072
71,34951,2019,5,42,154781.0,157900.0,4.072
72,34952,2019,5,119,189382.0,175000.0,4.072
73,34953,2019,5,140,222866.0,221500.0,4.072
74,34956,2019,5,4,158775.0,164550.0,4.072
75,34957,2019,5,79,251525.0,250000.0,4.072
76,34972,2019,5,23,123735.0,109500.0,4.072
77,34974,2019,5,60,122708.0,86000.0,4.072
78,34981,2019,5,4,267200.0,241000.0,4.072
79,34982,2019,5,56,168689.0,152950.0,4.072
80,34983,2019,5,115,201445.0,199000.0,4.072
81,34984,2019,5,35,218989.0,209900.0,4.072
82,34986,2019,5,88,272002.0,258500.0,4.072
83,34987,2019,5,32,269241.0,254000.0,4.072
84,34990,2019,5,66,429103.0,367500.0,4.072
85,34994,2019,5,32,323084.0,205000.0,4.072
86,34996,2019,5,33,557179.0,479000.0,4.072
87,34997,2019,5,73,273532.0,223000.0,4.072
88,34945,2019,6,1,201000.0,201000.0,3.8025
89,34946,2019,6,2,100550.0,100550.0,3.8025
90,34947,2019,6,11,129645.0,124000.0,3.8025
91,34949,2019,6,51,270655.0,247500.0,3.8025
92,34950,2019,6,24,136727.0,67500.0,3.8025
93,34951,2019,6,34,168685.0,166200.0,3.8025
94,34952,2019,6,102,218750.0,190000.0,3.8025
95,34953,2019,6,169,220543.0,224900.0,3.8025
96,34956,2019,6,1,160000.0,160000.0,3.8025
97,34957,2019,6,76,298866.0,285000.0,3.8025
98,34972,2019,6,21,143886.0,125000.0,3.8025
99,34974,2019,6,42,140921.0,118250.0,3.8025
100,34981,2019,6,9,208333.0,175300.0,3.8025
101,34982,2019,6,52,149568.0,150000.0,3.8025
102,34983,2019,6,101,191338.0,190000.0,3.8025
103,34984,2019,6,39,215904.0,217000.0,3.8025
104,34986,2019,6,84,267494.0,257450.0,3.8025
105,34987,2019,6,32,250178.0,244250.0,3.8025
106,34990,2019,6,81,410175.0,385000.0,3.8025
107,34994,2019,6,47,243761.0,180000.0,3.8025
108,34996,2019,6,37,451241.0,274900.0,3.8025
109,34997,2019,6,124,272698.0,230000.0,3.8025
110,34945,2019,7,3,245167.0,211500.0,3.765
111,34946,2019,7,5,110600.0,95000.0,3.765
112,34947,2019,7,9,124667.0,115000.0,3.765
113,34949,2019,7,32,324268.0,243500.0,3.765
114,34950,2019,7,33,103785.0,83000.0,3.765
115,34951,2019,7,41,194915.0,185000.0,3.765
116,34952,2019,7,116,170933.0,159950.0,3.765
117,34953,2019,7,169,222359.0,225000.0,3.765
118,34957,2019,7,81,266403.0,250000.0,3.765
119,34972,2019,7,14,85008.0,76364.0,3.765
120,34974,2019,7,46,117843.0,112750.0,3.765
121,34981,2019,7,6,227083.0,224750.0,3.765
122,34982,2019,7,64,143377.0,118250.0,3.765
123,34983,2019,7,101,197257.0,200000.0,3.765
124,34984,2019,7,40,255821.0,217450.0,3.765
125,34986,2019,7,76,258264.0,235000.0,3.765
126,34987,2019,7,36,282131.0,275500.0,3.765
127,34990,2019,7,65,416447.0,428000.0,3.765
