,zipcode,property_tax,owner_occupied,renter_occupied,total_vacant,total_dwellings,studio_rent,one_bed_rent,two_bed_rent,three_bed_rent,four_bed_rent,fte_employed,unemployed,average_income,projected_income,expense_index,average_commute,crime_index
0,33181,3517,3898,4351,1685,9935,1057,1231,1551,2068,2483,21870,1798,78736,93258,88,29,253
1,33182,4128,3286,530,96,3913,1057,1231,1551,2068,2483,7305,262,90007,106564,147,32,600
2,33183,2925,8906,3439,634,12978,1057,1231,1551,2068,2483,7585,1916,72485,85572,120,34,258
3,33184,3506,5103,1625,166,6894,1057,1231,1551,2068,2483,7089,1063,68673,81469,128,31,463
4,33185,4785,7037,1566,264,8867,1057,1231,1551,2068,2483,2435,877,103675,122747,148,38,573
5,33186,3555,16779,7342,1318,25438,1057,1231,1551,2068,2483,34760,2600,83870,99297,118,34,499
6,33187,4288,4493,952,304,5749,1057,1231,1551,2068,2483,2596,1142,94885,112652,146,36,555
7,33189,3070,5408,3559,751,9717,1057,1231,1551,2068,2483,9269,1459,73041,86657,113,32,1102
8,33190,4607,2340,2478,515,5332,1057,1231,1551,2068,2483,1199,903,73354,87043,117,32,1526
9,33193,3129,9471,4896,825,15193,1057,1231,1551,2068,2483,4722,2208,70692,83610,130,38,558
10,33194,5177,1412,363,90,1866,1057,1231,1551,2068,2483,866,520,110768,130873,143,34,294
11,33196,4019,11110,4817,1169,17096,1057,1231,1551,2068,2483,11425,2667,88104,104945,135,35,742
12,33301,9159,6061,5013,3232,14306,1059,1198,1510,2161,2614,26889,814,159738,181891,77,21,660
13,33304,7095,4702,6013,3282,13996,1059,1198,1510,2161,2614,12681,828,111004,127664,74,23,984
14,33305,7172,3925,2968,1606,8499,1059,1198,1510,2161,2614,4621,410,110793,127516,74,21,442
15,33306,6310,1284,687,442,2413,1059,1198,1510,2161,2614,4486,203,133050,153442,82,23,780
16,33308,6437,11600,5120,6813,23533,1059,1198,1510,2161,2614,20936,1418,119959,138013,75,22,339
17,33309,2958,9244,4990,1650,15885,1059,1198,1510,2161,2614,58952,3523,66151,75986,99,24,402
18,33311,2674,11497,11975,3545,27017,1059,1198,1510,2161,2614,16932,7267,49250,56678,104,27,430
19,33312,4076,11734,7666,2751,22150,1059,1198,1510,2161,2614,20785,4148,78492,90805,103,25,457
20,33313,1938,12821,10688,4543,28053,1059,1198,1510,2161,2614,14473,6307,48209,55495,101,28,340
21,33314,3563,6761,5301,1313,13375,1059,1198,1510,2161,2614,25511,1936,67625,77687,90,25,203
22,33315,4566,3312,2895,894,7101,1059,1198,1510,2161,2614,18974,647,85645,98918,85,21,1043
23,33316,8538,3925,2717,2869,9511,1059,1198,1510,2161,2614,27448,434,135103,155313,77,21,524
24,33317,3669,9941,3043,1003,13987,1059,1198,1510,2161,2614,18451,2234,84105,96983,114,25,418
25,33319,2698,15467,6192,5103,26763,1059,1198,1510,2161,2614,11788,3535,60097,69225,87,28,246
26,33321,2833,17414,4860,2775,25049,1059,1198,1510,2161,2614,14091,1895,62535,72023,84,27,144
27,33322,2366,14837,3581,3149,21567,1059,1198,1510,2161,2614,7653,1600,71926,82972,87,27,130
28,33323,4725,6482,2107,1055,9645,1059,1198,1510,2161,2614,30235,1299,110896,127799,124,28,137
29,33324,3640,13084,7370,2632,23086,1059,1198,1510,2161,2614,34521,2482,93627,108123,92,25,153
30,33325,5615,8658,2040,1162,11861,1059,1198,1510,2161,2614,13054,1275,110261,127369,122,28,235
31,33326,5616,8747,3538,2855,15139,1059,1198,1510,2161,2614,11258,1651,112421,128574,118,29,105
32,33327,8957,5656,1251,505,7412,1059,1198,1510,2161,2614,3412,1894,156617,180482,153,31,78
33,33328,5259,8905,2288,563,11755,1059,1198,1510,2161,2614,12342,1209,105363,120641,114,28,111
34,33330,8400,4274,447,210,4930,1059,1198,1510,2161,2614,8820,604,165725,191930,142,31,154
35,33331,7678,6620,1302,510,8432,1059,1198,1510,2161,2614,17215,1180,149568,173151,143,30,121
36,33332,9568,2709,367,269,3345,1059,1198,1510,2161,2614,3110,658,163275,188026,146,30,105
37,33334,3806,7270,5970,1653,14894,1059,1198,1510,2161,2614,16792,2048,74440,85625,91,22,562
38,33351,2997,8247,4608,1284,14138,1059,1198,1510,2161,2614,16417,2404,71454,82342,107,27,309
39,33401,4530,7509,8721,5926,22155,983,1180,1468,1984,2387,38342,1840,95254,111315,77,20,587
40,33403,2932,2628,2458,870,5956,983,1180,1468,1984,2387,9397,569,63433,73860,97,21,346
41,33404,5708,7459,4809,5400,17668,983,1180,1468,1984,2387,18137,2456,82588,97367,94,24,722
42,33406,2786,5993,3071,810,9874,983,1180,1468,1984,2387,15617,1634,74898,87399,108,23,103
43,33407,2626,5957,5845,2576,14378,983,1180,1468,1984,2387,26600,3220,59523,69316,98,22,805
44,33408,5839,7019,2635,3324,12979,983,1180,1468,1984,2387,16823,440,125542,147453,83,20,211
45,33409,2677,5595,6209,2082,13886,983,1180,1468,1984,2387,21093,1661,65563,76383,96,23,319
46,33410,5927,10988,4890,2626,18504,983,1180,1468,1984,2387,25178,938,107665,124722,92,21,231
47,33411,3602,21918,6574,4371,32863,983,1180,1468,1984,2387,25307,3248,91824,107341,110,33,376
48,33412,6710,5158,755,821,6733,983,1180,1468,1984,2387,2039,664,128041,149740,115,39,543
49,33413,3483,3469,2126,591,6187,983,1180,1468,1984,2387,5429,968,77783,90426,113,25,475
50,33414,5656,16182,4858,3313,24353,983,1180,1468,1984,2387,18788,2979,113449,131872,123,30,73
51,33415,1893,12542,6560,2761,21862,983,1180,1468,1984,2387,6491,3847,56132,65089,103,27,72
52,33417,1432,10171,5619,4754,20544,983,1180,1468,1984,2387,10713,2183,48452,56493,76,25,45
53,33418,6898,15912,4914,4502,25328,983,1180,1468,1984,2387,14612,1123,143829,167059,95,22,130
54,33426,2912,7741,3615,2514,13870,983,1180,1468,1984,2387,19579,1619,68830,80200,84,23,299
55,33428,3376,12508,3886,1902,18296,983,1180,1468,1984,2387,14248,2301,95297,110334,110,26,48
56,33430,1613,2489,3897,895,7280,983,1180,1468,1984,2387,6103,1951,36312,42282,108,26,245
57,33431,6178,5790,2409,1411,9611,983,1180,1468,1984,2387,43609,1483,125757,145944,94,19,217
58,33432,8587,7574,4312,4404,16291,983,1180,1468,1984,2387,16350,712,147221,170601,85,20,120
59,33434,2859,8974,1800,3848,14621,983,1180,1468,1984,2387,7881,778,106376,123637,81,24,57
60,33435,3539,10538,5262,5277,21077,983,1180,1468,1984,2387,10776,3119,80009,93031,92,24,381
61,33436,3239,14415,5106,3588,23109,983,1180,1468,1984,2387,11136,1896,78425,91292,89,24,205
62,33437,3432,16296,2961,2658,21915,983,1180,1468,1984,2387,7291,1375,85133,99035,79,25,110
63,33438,1408,107,59,26,192,983,1180,1468,1984,2387,159,76,50163,58438,94,29,22
64,33440,1533,4576,1948,1172,7696,629,644,734,1050,1213,4882,1128,53023,59886,109,23,186
65,33441,3939,6657,5214,2405,14277,1059,1198,1510,2161,2614,13431,2071,70272,81051,87,22,325
66,33442,2264,11323,4669,5219,21212,1059,1198,1510,2161,2614,23362,1582,61437,70937,74,24,107
67,33444,4276,5237,3728,1382,10346,983,1180,1468,1984,2387,11546,1573,85583,99495,102,22,353
68,33445,2990,10787,4016,3197,18000,983,1180,1468,1984,2387,14064,1719,74006,86057,86,21,511
69,33446,4076,13867,2369,4601,20837,983,1180,1468,1984,2387,5811,1069,117139,141516,81,23,274
70,33449,6209,3543,635,532,4710,983,1180,1468,1984,2387,1615,230,128445,149152,131,30,280
71,33455,7289,8391,1772,2173,12337,926,932,1211,1618,1830,4779,859,100624,117269,84,25,68
72,33458,5338,16385,6336,2683,25404,983,1180,1468,1984,2387,19422,1881,123008,143739,107,22,147
73,33460,3099,5792,6376,2537,14705,983,1180,1468,1984,2387,7699,1746,59319,69063,100,25,621
74,33461,2049,8527,6899,2959,18384,983,1180,1468,1984,2387,12267,2160,53899,62733,101,25,118
75,33462,3494,8791,4781,2906,16478,983,1180,1468,1984,2387,16007,2009,77492,90027,95,24,181
76,33463,2859,15342,5161,2915,23418,983,1180,1468,1984,2387,11858,3829,69750,81440,117,28,173
77,33467,3433,19686,2566,3506,25758,983,1180,1468,1984,2387,10184,2053,95170,110757,100,29,106
78,33469,6632,6077,1105,1866,9047,926,932,1211,1618,1830,4254,321,126340,147807,90,23,144
79,33470,4858,8510,1335,963,10807,983,1180,1468,1984,2387,5902,2072,98727,114822,127,38,283
80,33471,990,1592,560,880,3032,673,675,785,976,1114,1278,189,51225,54940,88,25,144
81,33472,3780,8124,819,904,9847,983,1180,1468,1984,2387,2373,904,107114,126992,96,25,130
82,33473,7393,4877,1420,992,7289,983,1180,1468,1984,2387,476,353,172484,200635,163,32,303
83,33476,1158,1077,1207,380,2664,983,1180,1468,1984,2387,1532,1298,38903,45392,108,29,189
0,33477,6888,6472,1482,4425,12379,983,1180,1468,1984,2387,6811,356,132888,154548,78,24,175
1,33478,6629,5161,638,440,6239,983,1180,1468,1984,2387,4135,317,129797,152584,124,31,40
2,33480,31044,4629,802,4583,10013,983,1180,1468,1984,2387,12352,145,272207,316237,80,15,100
3,33483,9689,5266,2178,2900,10344,983,1180,1468,1984,2387,10505,754,167190,193986,84,22,435
4,33484,2099,12626,2557,4483,19666,983,1180,1468,1984,2387,6580,1135,65543,76116,66,20,195
5,33486,5207,6410,2391,1074,9875,983,1180,1468,1984,2387,11309,590,110412,128344,102,20,246
6,33487,6451,7907,2046,3455,13408,983,1180,1468,1984,2387,38789,600,130915,151078,80,19,52
7,33493,1322,505,430,250,1185,983,1180,1468,1984,2387,1387,177,57150,66531,124,26,243
8,33496,6111,8563,1494,1862,11919,983,1180,1468,1984,2387,10145,797,168966,196856,98,21,49
9,33498,5189,4920,481,458,5858,983,1180,1468,1984,2387,4277,389,125357,145781,120,27,33
10,33503,3100,46,21,7,74,989,1040,1271,1651,2028,0,0,88809,101631,104,27,194
11,33510,2227,7082,3676,800,11558,989,1040,1271,1651,2028,6732,1084,69915,80040,96,26,292
12,33511,2653,12739,10592,1704,25035,989,1040,1271,1651,2028,24842,2287,71593,82057,92,27,260
13,33513,902,3349,917,1305,5570,716,718,946,1278,1283,4159,631,56242,66172,84,30,69
14,33514,842,499,155,149,804,716,718,946,1278,1283,473,101,53509,63030,98,31,45
15,33521,796,358,70,111,538,716,718,946,1278,1283,283,34,74281,89007,60,27,37
16,33523,1402,4825,1854,1072,7751,989,1040,1271,1651,2028,3041,600,64678,72684,99,31,187
17,33525,2067,5750,1730,1465,8944,989,1040,1271,1651,2028,7940,783,69543,78909,91,25,200
18,33527,2596,3283,1498,585,5367,989,1040,1271,1651,2028,2545,740,72222,82616,116,26,376
19,33534,2767,3460,2159,969,6587,989,1040,1271,1651,2028,2591,815,62378,71460,104,26,478
20,33538,705,1653,440,759,2852,716,718,946,1278,1283,786,182,49428,58758,77,31,79
21,33540,1049,3516,757,1311,5584,989,1040,1271,1651,2028,2262,308,55590,62714,81,29,253
22,33541,1644,8894,1510,3612,14016,989,1040,1271,1651,2028,5874,777,53749,60736,77,29,118
23,33542,1130,7842,2510,3487,13840,989,1040,1271,1651,2028,4592,890,47408,53498,73,25,226
24,33543,3537,10272,2264,1719,14255,989,1040,1271,1651,2028,9559,1045,97693,110639,101,32,72
25,33544,4151,8361,2812,1262,12434,989,1040,1271,1651,2028,7716,1249,99675,113450,110,32,101
26,33545,3541,5896,1681,839,8417,989,1040,1271,1651,2028,2270,766,93322,106665,110,33,223
27,33547,5284,6492,2148,619,9259,989,1040,1271,1651,2028,3912,685,126211,145356,127,32,233
28,33548,4657,2289,502,224,3015,989,1040,1271,1651,2028,2390,237,126530,144965,104,27,424
29,33549,3043,5381,1636,620,7636,989,1040,1271,1651,2028,7438,431,89927,102691,97,26,239
30,33556,4966,9066,1892,1087,12046,989,1040,1271,1651,2028,2923,932,132552,151446,110,29,224
31,33558,4684,7371,3441,1074,11886,989,1040,1271,1651,2028,4219,1091,112865,128142,100,30,200
32,33559,2785,4588,2699,733,8020,989,1040,1271,1651,2028,3777,860,76585,87346,91,30,191
33,33563,1380,5681,3872,1257,10809,989,1040,1271,1651,2028,12253,1451,55460,63636,98,22,413
34,33565,2350,5457,1226,706,7389,989,1040,1271,1651,2028,2031,693,73146,83789,102,26,394
35,33566,2208,4993,2374,712,8078,989,1040,1271,1651,2028,8413,830,79546,90525,107,24,247
36,33567,2252,3009,1044,380,4433,989,1040,1271,1651,2028,2143,658,70659,80858,113,27,301
