DISTRICT,DISTRICT_NAME,SCHOOL,SCHOOL_NAME_SHORT,MAILING_ADDRESS1,MAILING_ADDRESS2,MAILING_CITY,MAILING_STATE,ZIP,MAILING_ZIP,PRINCIPAL_LAST,PRINCIPAL_FIRST,PRINCIPAL_MI,PRINCIPAL_TITLE,GRADE_CODE,TYPE,CHARTER_SCHL_STAT,SCHL_FUNC_SETTING,PRIMARY_SERV_TYPE,NEG_DEL_IND,MAGNET_STATUS,MAGNET_SPECIALTY,MAGNET_PURPOSE
1,ALACHUA     ,221,A. L. MEBANE MIDDLE SCHOOL                   ,16401 NW 140TH ST                       ,                                        ,ALACHUA             ,FL,32615,32615-4422,BESSNER                       ,MANDA               , ,MS.                                               ,'6-8                           ,Middle/Junior                           ,Not a charter school                              ,Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,52,A.QUINN JONES CENTER                         ,1108 NW 7TH AVE                         ,                                        ,GAINESVILLE         ,FL,32601,32601-4949,JONES                         ,DARIN               ,D,MR.                                               ,'6-12                          ,Senior High                             ,Not a charter school                              ,Not Applicable                                    ,Alternative Education                             ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,112,ABRAHAM LINCOLN MIDDLE SCHOOL                ,1001 SE 12TH ST                         ,                                        ,GAINESVILLE         ,FL,32641,32641-8101,STRAPPY                       ,LATROY              , ,MR.                                               ,'6-8                           ,Middle/Junior                           ,Not a charter school                              ,Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Magnet Program                                    ,Academically Talented                             ,Is not designated to eliminate racial isolation   
1,ALACHUA     ,400,ADULT EDUCATION PROGRAM                      ,620 E UNIVERSITY AVE                    ,                                        ,GAINESVILLE         ,FL,32601,32601-5448,WISE                          ,CHARLEY             , ,MR.                                               ,'ADULT                         ,Adult                                   ,Not a charter school                              ,Adult General Education                           ,Adult Education                                   ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,602,ALACHUA ACADEMY                              ,3430 NE 39TH AVE                        ,                                        ,GAINESVILLE         ,FL,32609,32609-2638,LEWIS                         ,EMMA                , ,MS.                                               ,'6-12                          ,Senior High                             ,Not a charter school                              ,Department of Juvenile Justice (DJJ)              ,Alternative Education                             ,"Delinquent, Residential                           ",Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,701,ALACHUA COUNTY JAIL                          ,3333 NE 39TH AVE                        ,                                        ,GAINESVILLE         ,FL,32609,32609-2639,KIDWELL-DIEHLMAN              ,DONNA               , ,MS.                                               ,'6-12                          ,Senior High                             ,Not a charter school                              ,County Jail/State Prison                          ,Alternative Education                             ,"Delinquent, Residential                           ",Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,9001,ALACHUA DISTRICT OFFICE                      ,620 E UNIVERSITY AVE                    ,                                        ,GAINESVILLE         ,FL,32601,32601-5448,                              ,                    , ,OTHER                                             ,'UNASSIGNED                    ,Other Types                             ,Not a charter school                              ,Not Applicable                                    ,Other                                             ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,161,ALACHUA ELEMENTARY SCHOOL                    ,13800 NW 152ND PL                       ,                                        ,ALACHUA             ,FL,32615,32615-4433,HARBOUR                       ,HEATHER             , ,MRS.                                              ,'3-5                           ,Elementary                              ,Not a charter school                              ,Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,7004,ALACHUA ESCHOOL (VIRTUAL FRANCHISE)          ,2802 NE 8TH AVE                         ,                                        ,GAINESVILLE         ,FL,32641,32641-4836,STEFANSEN                     ,EDWIN               , ,MR.                                               ,'6-12                          ,Senior High                             ,Not a charter school                              ,Virtual Instruction Program                       ,K-12 General Education                            ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
1,ALACHUA     ,957,ALACHUA LEARNING ACADEMY ELEMENTARY          ,PO BOX 1389                             ,                                        ,ALACHUA             ,FL,32616,32616-1389,RIVERA                        ,KRISHNA             , ,MS.                                               ,'K-5                           ,Elementary                              ,"Regular charter school (under s. 1002.33, F.S.)   ",Not Applicable                                    ,K-12 General Education                            ,Not Applicable                                    ,Not Applicable                                    ,Not Applicable                                    ,Not a magnet school/program                       
