,,,2018-19 District Grades,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
District Number,District Name,English Language Arts Achievement,English Language Arts Learning Gains,English Language Arts Learning Gains of the Lowest 25%,Mathematics Achievement,Mathematics Learning Gains,Mathematics Learning Gains of the Lowest 25%,Science Achievement,Social Studies Achievement,Middle School Acceleration,Graduation Rate 2017-18,College and Career Acceleration 2017-18,Total Points Earned,Total Components,Percent of Total Possible Points,Percent Tested,Grade 2019,Grade 2018,Grade 2017,Grade 2016,Informational Baseline Grade 2015,Grade 2014,Grade 2013,Grade 2012,Grade 2011,Grade 2010
01,ALACHUA,58,55,40,58,57,44,59,72,83,88,63,677,11,62,98,A,B,B,B,A,C,C,B,A,A
02,BAKER,52,51,44,60,54,44,58,74,67,76,68,648,11,59,98,B,B,B,C,B,C,C,C,B,B
03,BAY,58,57,49,60,54,45,59,76,64,81,61,664,11,60,98,B,B,B,B,B,C,C,B,A,B
04,BRADFORD,45,48,43,53,54,42,45,65,55,89,45,584,11,53,96,C,C,C,C,C,C,D,D,C,C
05,BREVARD,62,58,47,62,61,47,60,74,76,88,67,702,11,64,98,A,A,A,B,A,B,B,A,A,A
06,BROWARD,60,57,45,61,59,45,55,72,70,84,63,671,11,61,98,B,B,B,B,B,B,C,B,A,A
07,CALHOUN,62,59,44,64,57,45,63,75,62,87,54,672,11,61,99,B,A,B,B,A,B,B,B,A,A
08,CHARLOTTE,56,52,44,61,56,45,61,77,66,88,50,656,11,60,98,B,B,B,B,B,C,C,B,A,A
09,CITRUS,56,53,44,59,52,41,62,76,57,84,44,628,11,57,98,B,B,B,B,A,A,B,A,A,A
10,CLAY,63,58,47,66,60,49,68,81,74,91,64,721,11,66,98,A,A,B,B,A,B,B,A,A,A
11,COLLIER,60,55,43,66,59,51,61,74,84,92,71,716,11,65,99,A,A,A,B,A,B,B,A,B,A
12,COLUMBIA,58,57,50,64,61,45,59,70,68,88,48,668,11,61,99,B,B,B,C,B,C,C,C,B,B
13,MIAMI-DADE,61,58,47,62,58,47,58,74,78,85,70,698,11,63,99,A,A,B,B,B,B,B,B,B,B
14,DESOTO,36,47,41,40,47,45,39,52,81,61,49,538,11,49,99,C,C,C,C,C,D,D,C,C,C
15,DIXIE,55,53,46,55,60,52,51,71,67,97,71,678,11,62,99,A,B,B,B,B,C,C,B,A,B
16,DUVAL,50,52,43,58,57,46,54,71,80,85,77,673,11,61,99,B,B,B,B,B,C,C,C,B,B
17,ESCAMBIA,50,51,42,49,52,42,53,58,77,81,51,606,11,55,99,B,B,C,C,B,C,C,C,B,C
18,FLAGLER,61,57,48,63,59,48,60,74,71,88,53,682,11,62,98,A,B,B,B,B,B,B,B,A,A
19,FRANKLIN,43,44,38,42,47,42,44,53,44,77,40,514,11,47,97,C,C,C,C,C,C,C,C,C,B
20,GADSDEN,38,49,51,47,50,47,35,65,74,66,45,567,11,52,98,C,C,C,C,D,D,D,C,C,C
21,GILCHRIST,67,62,55,71,62,54,76,83,70,87,67,754,11,69,99,A,A,A,B,A,A,A,A,A,A
22,GLADES,47,50,48,54,52,49,41,48,62,93,35,579,11,53,98,C,C,C,C,C,B,C,B,A,C
23,GULF,51,47,33,52,48,38,50,64,58,82,59,582,11,53,97,C,B,B,B,B,C,C,B,A,A
24,HAMILTON,35,44,42,42,44,46,39,42,56,74,67,531,11,48,99,C,C,D,D,D,F,F,D,C,D
25,HARDEE,49,50,45,60,57,50,49,56,56,80,37,589,11,54,99,B,C,C,C,C,D,D,C,C,C
26,HENDRY,45,50,41,47,53,44,49,62,60,84,48,583,11,53,99,C,C,C,C,C,D,D,C,C,C
27,HERNANDO,54,52,44,59,55,45,60,74,52,88,58,641,11,58,99,B,B,B,B,B,C,C,C,B,A
28,HIGHLANDS,47,49,40,52,52,42,47,63,54,77,46,569,11,52,99,C,C,C,C,C,C,C,C,B,C
29,HILLSBOROUGH,55,55,43,56,57,44,56,72,82,86,50,656,11,60,99,B,B,B,B,A,B,C,B,B,A
30,HOLMES,53,51,41,49,54,43,51,67,38,77,46,570,11,52,97,C,C,C,C,C,C,C,C,B,B
31,INDIAN RIVER,56,55,45,58,56,47,56,68,56,92,65,654,11,59,98,B,B,B,B,A,C,C,B,A,A
32,JACKSON,58,54,44,56,50,43,49,70,73,79,62,638,11,58,97,B,B,B,C,B,C,C,B,B,B
33,JEFFERSON,34,41,44,40,44,46,28,58,52,73,47,507,11,46,98,C,C,D,D,D,F,F,D,C,D
34,LAFAYETTE,59,58,42,72,58,49,67,70,78,97,85,735,11,67,99,A,A,B,B,B,B,C,B,B,B
35,LAKE,55,53,42,57,56,42,58,71,72,84,53,643,11,58,99,B,B,B,C,B,C,C,B,B,B
36,LEE,55,54,42,59,60,49,53,68,68,83,55,646,11,59,99,B,B,B,B,B,B,C,B,A,A
37,LEON,58,54,40,62,59,43,57,78,73,93,55,672,11,61,99,B,B,B,B,A,B,C,B,A,A
38,LEVY,47,51,52,54,53,43,54,72,67,87,62,642,11,58,97,B,C,C,C,B,C,C,C,B,B
39,LIBERTY,63,58,51,57,54,50,58,76,76,77,76,696,11,63,98,A,A,B,B,B,B,C,B,A,B
40,MADISON,42,46,41,45,45,38,41,61,55,81,55,550,11,50,98,C,B,C,C,C,F,F,D,D,D
41,MANATEE,53,54,47,61,61,51,54,76,73,85,56,671,11,61,98,B,B,B,C,B,C,C,C,B,B
42,MARION,48,53,44,50,55,44,51,70,68,82,53,618,11,56,98,B,B,C,C,B,C,C,C,B,B
43,MARTIN,59,57,48,67,62,51,64,81,70,88,65,712,11,65,99,A,A,A,B,A,B,B,A,A,A
44,MONROE,63,57,47,65,62,51,66,79,60,86,53,689,11,63,99,A,A,B,B,A,B,B,A,A,A
45,NASSAU,68,57,45,76,65,58,71,76,57,93,72,738,11,67,99,A,A,A,B,A,A,B,A,A,A
46,OKALOOSA,65,57,48,73,65,53,69,79,65,88,71,733,11,67,98,A,A,A,A,A,A,B,A,A,A
47,OKEECHOBEE,46,49,44,56,53,45,47,59,64,77,66,606,11,55,98,B,C,C,C,C,C,D,C,C,C
48,ORANGE,56,55,44,57,57,45,60,70,83,89,61,677,11,62,99,A,B,B,B,B,B,C,B,B,A
49,OSCEOLA,52,53,45,50,52,43,54,72,80,89,49,639,11,58,99,B,B,B,C,B,C,C,B,B,B
50,PALM BEACH,59,57,47,63,60,46,59,73,78,87,68,697,11,63,99,A,A,B,B,A,B,B,A,A,A
51,PASCO,57,55,46,60,60,44,59,71,56,87,47,642,11,58,98,B,B,B,C,B,C,C,B,B,B
52,PINELLAS,55,55,45,57,55,43,57,70,77,86,59,659,11,60,98,B,B,B,B,B,C,C,C,B,B
53,POLK,48,50,42,51,51,42,48,66,65,80,55,598,11,54,98,B,B,C,C,C,C,C,C,C,B
54,PUTNAM,43,49,42,45,49,40,39,58,76,85,40,566,11,51,98,C,C,C,C,C,C,D,C,C,C
55,ST. JOHNS,75,63,49,80,68,56,78,89,62,93,63,776,11,71,99,A,A,A,A,A,A,A,A,A,A
56,ST. LUCIE,53,54,46,52,52,45,58,71,78,92,68,669,11,61,99,B,B,B,C,B,C,C,C,B,B
57,SANTA ROSA,66,59,50,70,62,50,69,77,65,89,59,716,11,65,99,A,A,A,B,A,A,A,A,A,A
58,SARASOTA,67,59,46,72,65,50,69,83,74,90,67,742,11,67,99,A,A,A,A,A,A,A,A,A,A
59,SEMINOLE,64,58,44,66,62,46,65,76,79,92,60,712,11,65,99,A,A,A,B,A,A,A,A,A,A
60,SUMTER,64,57,45,66,62,49,64,71,65,88,58,689,11,63,99,A,A,B,B,A,B,B,A,A,A
61,SUWANNEE,50,50,43,50,50,42,54,67,80,96,73,655,11,60,99,B,B,B,C,B,C,D,C,C,C
62,TAYLOR,50,55,52,57,58,51,54,66,87,88,66,684,11,62,97,A,B,C,C,C,C,C,C,C,C
63,UNION,61,57,43,73,65,55,59,81,41,84,50,669,11,61,98,B,B,B,B,A,A,B,A,A,B
64,VOLUSIA,53,52,41,54,52,39,63,68,76,79,47,624,11,57,98,B,B,B,B,B,C,C,C,B,B
65,WAKULLA,62,53,43,64,61,48,65,80,76,90,72,714,11,65,99,A,A,A,B,A,B,B,A,A,A
66,WALTON,64,59,47,67,60,53,69,82,77,87,65,730,11,66,99,A,A,B,B,B,A,B,B,A,A
67,WASHINGTON,54,53,40,57,58,48,55,70,67,80,70,652,11,59,98,B,B,B,C,B,C,C,C,B,C
